Region_ID,Side,ID_Path,Region,Abbr
164,R,/997/8/343/1065/354/370/154/169/,Nucleus prepositus,PRP
166,R,/997/8/567/688/695/315/972/171/,"Prelimbic area, layer 1",PL1
167,R,/997/8/343/1129/1097/290/173/,Retrochiasmatic area,RCH
170,R,/997/8/343/1065/354/370/154/177/,Nucleus of Roller,NR
171,R,/997/8/343/1129/549/856/1014/178/,Ventral part of the lateral geniculate complex,LGv
173,R,/997/8/567/688/695/315/1057/180/,"Gustatory areas, layer 2/3",GU2/3
174,R,/997/8/343/1129/549/856/571/181/,Nucleus of reuniens,RE
179,R,/997/8/343/1129/549/856/958/186/,Lateral habenula,LH
180,R,/997/8/567/688/695/315/1057/187/,"Gustatory areas, layer 5",GU5
181,R,/997/8/567/688/695/698/151/188/,"Accessory olfactory bulb, glomerular layer",AOBgl
182,R,/997/8/343/1129/549/856/51/189/,Rhomboid nucleus,RH
183,R,/997/1009/983/784/190/,pyramid,py
187,R,/997/8/343/1129/1097/290/194/,Lateral hypothalamic area,LHA
189,R,/997/8/567/688/695/698/151/196/,"Accessory olfactory bulb, granular layer",AOBgr
190,R,/997/8/343/313/348/165/197/,Rostral linear nucleus raphe,RL
191,R,/997/1009/983/784/198/,pyramidal decussation,pyd
194,R,/997/8/567/688/695/315/453/322/329/201/,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3
195,R,/997/8/343/1065/354/370/701/202/,Medial vestibular nucleus,MV
196,R,/997/8/343/1065/354/370/203/,Linear nucleus of the medulla,LIN
197,R,/997/8/567/688/695/698/151/204/,"Accessory olfactory bulb, mitral layer",AOBmi
199,R,/997/8/343/1065/354/379/206/,Nucleus raphe magnus,RM
200,R,/997/8/343/1065/354/386/207/,Area postrema,AP
202,R,/997/8/343/1065/354/370/701/209/,Lateral vestibular nucleus,LAV
203,R,/997/8/343/1129/1097/467/331/210/,Lateral mammillary nucleus,LM
204,R,/997/8/567/688/695/315/31/39/211/,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3
207,R,/997/8/343/313/323/214/,Red nucleus,RN
208,R,/997/8/343/313/323/1100/215/,Anterior pretectal nucleus,APN
210,R,/997/8/343/1065/354/370/701/217/,Superior vestibular nucleus,SUV
211,R,/997/8/343/1129/549/856/138/218/,Lateral posterior nucleus of the thalamus,LP
213,R,/997/8/567/688/695/698/507/220/,"Main olfactory bulb, granule layer",MOBgr
215,R,/997/8/343/1065/354/379/222/,Nucleus raphe obscurus,RO
216,R,/997/8/343/1129/1097/157/223/,Arcuate hypothalamic nucleus,ARH
218,R,/997/8/343/1065/354/370/701/225/,Spinal vestibular nucleus,SPIV
219,R,/997/8/343/1129/1097/290/226/,Lateral preoptic area,LPO
221,R,/997/8/567/688/695/698/507/228/,"Main olfactory bulb, inner plexiform layer",MOBipl
222,R,/997/1009/967/901/229/,sensory root of the trigeminal nerve,sV
223,R,/997/8/343/1065/354/379/230/,Nucleus raphe pallidus,RPA
224,R,/997/8/343/313/323/231/,Anterior tegmental nucleus,AT
226,R,/997/8/567/688/695/315/669/402/233/,"Anterolateral visual area, layer 5",VISal5
227,R,/997/8/567/688/695/315/541/234/,"Temporal association areas, layer 4",TEa4
229,R,/997/8/567/688/695/698/507/236/,"Main olfactory bulb, mitral layer",MOBmi
230,R,/997/1009/967/917/237/,solitary tract,ts
231,R,/997/8/343/1065/771/1117/238/,Nucleus raphe pontis,RPO
236,R,/997/8/567/688/695/315/247/1011/243/,"Dorsal auditory area, layer 6b",AUDd6b
237,R,/997/8/567/688/695/698/507/244/,"Main olfactory bulb, outer plexiform layer",MOBopl
239,R,/997/8/343/313/323/246/,"Midbrain reticular nucleus, retrorubral area",RR
242,R,/997/8/567/688/695/315/247/1027/249/,"Posterior auditory area, layer 6a",AUDpo6a
243,R,/997/8/567/623/477/275/242/250/,"Lateral septal nucleus, caudal (caudodorsal) part",LSc
244,R,/997/8/567/688/695/315/247/1002/251/,"Primary auditory area, layer 2/3",AUDp2/3
245,R,/997/8/567/688/695/315/247/1011/252/,"Dorsal auditory area, layer 5",AUDd5
248,R,/997/8/343/1129/549/856/239/255/,Anteroventral nucleus of thalamus,AV
250,R,/997/8/567/688/695/315/669/533/257/,"posteromedial visual area, layer 6a",VISpm6a
251,R,/997/8/567/623/477/275/242/258/,"Lateral septal nucleus, rostral (rostroventral) part",LSr
253,R,/997/8/567/688/695/698/619/260/,"Nucleus of the lateral olfactory tract, molecular layer",NLOT1
255,R,/997/8/343/1129/549/856/262/,Reticular nucleus of the thalamus,RT
256,R,/997/8/343/1129/1097/141/263/,Anteroventral preoptic nucleus,AVP
258,R,/997/8/567/623/477/275/242/266/,"Lateral septal nucleus, ventral part",LSv
260,R,/997/8/567/688/695/698/619/268/,"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2
261,R,/997/8/567/688/695/315/669/425/269/,"Posterolateral visual area, layer 2/3",VISpl2/3
263,R,/997/8/343/313/339/271/,Nucleus sagulum,SAG
264,R,/997/8/343/1129/1097/141/272/,Anteroventral periventricular nucleus,AVPV
265,R,/997/8/567/688/695/315/254/879/274/,"Retrosplenial area, dorsal part, layer 6a",RSPd6a
270,R,/997/8/567/688/695/315/254/894/279/,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b
271,R,/997/8/343/1065/771/987/280/,Barrington's nucleus,B
272,R,/997/8/567/688/695/315/669/394/281/,"Anteromedial visual area, layer 1",VISam1
276,R,/997/8/343/1129/1097/141/286/,Suprachiasmatic nucleus,SCH
277,R,/997/8/567/623/803/809/287/,Bed nucleus of the anterior commissure,BAC
278,R,/997/8/567/688/695/315/714/746/288/,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3
279,R,/997/8/567/688/695/315/541/289/,"Temporal association areas, layer 5",TEa5
282,R,/997/8/567/623/477/278/292/,Bed nucleus of the accessory olfactory tract,BA
286,R,/997/8/567/688/695/315/31/48/296/,"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3
288,R,/997/8/567/623/803/835/298/,Magnocellular nucleus,MA
291,R,/997/1009/991/768/301/,stria terminalis,st
293,R,/997/8/567/688/703/295/303/,"Basolateral amygdalar nucleus, anterior part",BLAa
294,R,/997/8/567/688/695/315/972/304/,"Prelimbic area, layer 2/3",PL2/3
295,R,/997/8/567/688/695/315/669/385/305/,"Primary visual area, layer 6b",VISp6b
297,R,/997/8/343/1065/354/370/307/,Magnocellular reticular nucleus,MARN
300,R,/997/8/567/623/477/275/310/,Septofimbrial nucleus,SF
301,R,/997/8/567/688/703/295/311/,"Basolateral amygdalar nucleus, posterior part",BLAp
303,R,/997/8/343/313/,Midbrain,MB
304,R,/997/8/567/688/695/315/95/111/314/,"Agranular insular area, posterior part, layer 6a",AIp6a
308,R,/997/8/343/1065/771/987/318/,Supragenual nucleus,SG
310,R,/997/8/567/688/695/315/500/985/320/,"Primary motor area, Layer 1",MOp1
311,R,/997/8/343/1129/549/856/1014/321/,Subgeniculate nucleus,SubG
315,R,/997/8/343/1129/549/856/138/325/,Suprageniculate nucleus,SGN
316,R,/997/1009/960/752/326/,superior cerebelar peduncles,scp
317,R,/997/8/567/688/703/319/327/,"Basomedial amygdalar nucleus, anterior part",BMAa
318,R,/997/8/567/688/695/315/95/104/328/,"Agranular insular area, dorsal part, layer 2/3",AId2/3
320,R,/997/8/567/688/695/315/254/879/330/,"Retrosplenial area, dorsal part, layer 6b",RSPd6b
322,R,/997/8/343/1129/1097/157/332/,Accessory supraoptic group,ASO
323,R,/997/8/567/623/477/275/333/,Septohippocampal nucleus,SH
324,R,/997/8/567/688/703/319/334/,"Basomedial amygdalar nucleus, posterior part",BMAp
325,R,/997/8/567/688/695/315/922/335/,"Perirhinal area, layer 6a",PERI6a
326,R,/997/1009/967/848/336/,superior colliculus commissure,csc
328,R,/997/8/343/1129/1097/141/338/,Subfornical organ,SFO
332,R,/997/8/567/623/803/835/342/,Substantia innominata,SI
334,R,/997/8/567/688/695/315/95/111/344/,"Agranular insular area, posterior part, layer 5",AIp5
337,R,/997/8/343/1129/1097/141/347/,Subparaventricular zone,SBPV
339,R,/997/1009/991/824/349/,supraoptic commissures,sup
340,R,/997/8/343/1065/771/1117/350/,Subceruleus nucleus,SLC
341,R,/997/8/567/623/803/809/351/,Bed nuclei of the stria terminalis,BST
344,R,/997/8/343/1065/354/,Medulla,MY
345,R,/997/8/567/688/695/315/95/111/355/,"Agranular insular area, posterior part, layer 6b",AIp6b
346,R,/997/8/343/1129/1097/290/356/,Preparasubthalamic nucleus,PST
348,R,/997/8/343/1065/771/1117/358/,Sublaterodorsal nucleus,SLD
352,R,/997/8/343/1129/549/856/444/362/,Mediodorsal nucleus of thalamus,MD
353,R,/997/8/567/688/695/315/972/363/,"Prelimbic area, layer 5",PL5
354,R,/997/8/343/1129/1097/290/364/,Parasubthalamic nucleus,PSTN
356,R,/997/8/343/1129/549/856/444/366/,Submedial nucleus of the thalamus,SMT
358,R,/997/8/567/688/695/315/922/368/,"Perirhinal area, layer 6b",PERI6b
362,R,/997/8/343/1065/354/370/372/,Infracerebellar nucleus,ICB
364,R,/997/8/343/313/348/374/,"Substantia nigra, compact part",SNc
367,R,/997/8/567/688/695/315/669/425/377/,"Posterolateral visual area, layer 6a",VISpl6a
370,R,/997/1009/967/792/932/514/380/,cuneate fascicle,cuf
371,R,/997/8/343/313/323/381/,"Substantia nigra, reticular part",SNr
380,R,/997/8/343/1129/1097/157/390/,Supraoptic nucleus,SO
381,R,/997/8/567/688/695/1089/1080/375/382/391/,"Field CA1, stratum lacunosum-moleculare",CA1slm
383,R,/997/8/567/688/695/315/669/425/393/,"Posterolateral visual area, layer 6b",VISpl6b
387,R,/997/1009/1000/863/397/,ventral tegmental decussation,vtd
389,R,/997/8/567/688/695/1089/1080/375/382/399/,"Field CA1, stratum oriens",CA1so
391,R,/997/8/567/688/695/315/669/394/401/,"Anteromedial visual area, layer 4",VISam4
393,R,/997/8/567/623/477/278/403/,Medial amygdalar nucleus,MEA
397,R,/997/8/567/688/695/1089/1080/375/382/407/,"Field CA1, pyramidal layer",CA1sp
402,R,/997/8/567/688/695/315/714/723/412/,"Orbital area, lateral part, layer 2/3",ORBl2/3
403,R,/997/1009/967/933/413/,vestibular nerve,vVIIIn
404,R,/997/8/343/1129/549/864/406/414/,"Subparafascicular nucleus, magnocellular part",SPFm
405,R,/997/8/567/688/695/1089/1080/375/382/415/,"Field CA1, stratum radiatum",CA1sr
411,R,/997/8/567/688/695/315/669/409/421/,"Lateral visual area, layer 1",VISl1
412,R,/997/8/343/1129/549/864/406/422/,"Subparafascicular nucleus, parvicellular part",SPFp
417,R,/997/8/567/688/695/315/895/427/,Ectorhinal area/Layer 2/3,ECT2/3
418,R,/997/1009/991/768/1099/737/428/,medial corticohypothalamic tract,mct
419,R,/997/8/343/1065/354/386/429/,"Spinal nucleus of the trigeminal, caudal part",SPVC
420,R,/997/8/567/688/695/315/254/886/430/,"Retrosplenial area, ventral part, layer 2/3",RSPv2/3
421,R,/997/8/567/688/695/1089/1080/375/423/431/,"Field CA2, stratum lacunosum-moleculare",CA2slm
423,R,/997/8/567/688/695/315/669/394/433/,"Anteromedial visual area, layer 5",VISam5
424,R,/997/8/567/688/695/315/254/879/434/,"Retrosplenial area, dorsal part, layer 2/3",RSPd2/3
426,R,/997/1009/991/768/1099/737/436/,columns of the fornix,fx
427,R,/997/8/343/1065/354/386/437/,"Spinal nucleus of the trigeminal, interpolar part",SPVI
428,R,/997/8/567/688/695/1089/1080/375/423/438/,"Field CA2, stratum oriens",CA2so
430,R,/997/8/567/688/695/315/714/723/440/,"Orbital area, lateral part, layer 6a",ORBl6a
431,R,/997/8/567/688/695/315/669/394/441/,"Anteromedial visual area, layer 6b",VISam6b
432,R,/997/8/567/688/695/315/254/879/442/,"Retrosplenial area, dorsal part, layer 1",RSPd1
433,R,/997/1009/991/768/1099/618/443/,dorsal hippocampal commissure,dhc
435,R,/997/8/343/1065/354/386/445/,"Spinal nucleus of the trigeminal, oral part",SPVO
436,R,/997/8/567/688/695/1089/1080/375/423/446/,"Field CA2, pyramidal layer",CA2sp
438,R,/997/8/567/688/695/315/714/723/448/,"Orbital area, lateral part, layer 1",ORBl1
439,R,/997/1009/991/768/1099/618/449/,ventral hippocampal commissure,vhc
440,R,/997/8/567/688/695/315/453/322/369/450/,"Primary somatosensory area, upper limb, layer 1",SSp-ul1
441,R,/997/8/567/688/703/295/451/,"Basolateral amygdalar nucleus, ventral part",BLAv
442,R,/997/8/343/1129/1097/141/452/,Median preoptic nucleus,MEPO
444,R,/997/8/567/688/695/1089/1080/375/423/454,"Field CA2, stratum radiatum",CA2sr
446,R,/997/8/567/688/695/315/247/1027/456/,"Posterior auditory area, layer 6b",AUDpo6b
451,R,/997/8/567/688/695/315/453/322/361/461/,"Primary somatosensory area, trunk, layer 6b",SSp-tr6b
456,R,/997/1009/991/768/1099/466/,alveus,alv
459,R,/997/8/567/688/695/315/669/533/469/,"posteromedial visual area, layer 6b",VISpm6b
460,R,/997/8/343/1129/1097/290/470/,Subthalamic nucleus,STN
461,R,/997/8/567/688/695/1089/1080/375/463/471/,"Field CA3, stratum lacunosum-moleculare",CA3slm
467,R,/997/8/567/623/477/,Striatum,STR
468,R,/997/8/567/688/695/315/453/322/337/478/,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a
469,R,/997/8/567/688/695/1089/1080/375/463/479/,"Field CA3, stratum lucidum",CA3slu
472,R,/997/1009/967/933/948/482/,brachium of the inferior colliculus,bic
473,R,/997/8/343/1129/549/856/958/483/,Medial habenula,MH
474,R,/997/8/567/688/695/315/714/731/484/,"Orbital area, medial part, layer 1",ORBm1
476,R,/997/8/567/688/695/1089/1080/375/463/486/,"Field CA3, stratum oriens",CA3so
478,R,/997/8/567/688/695/315/714/723/488/,"Orbital area, lateral part, layer 6b",ORBl6b
485,R,/997/8/567/688/695/1089/1080/375/463/495/,"Field CA3, pyramidal layer",CA3sp
491,R,/997/8/567/688/695/315/669/533/501/,"posteromedial visual area, layer 4",VISpm4
492,R,/997/8/567/688/695/1089/822/502/,Subiculum,SUB
494,R,/997/8/567/688/695/1089/1080/375/463/504/,"Field CA3, stratum radiatum",CA3sr
496,R,/997/1009/967/933/948/506/,dorsal acoustic stria,das
497,R,/997/8/567/688/695/698/507/,Main olfactory bulb,MOB
500,R,/997/8/567/688/695/315/453/322/337/510/,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b
502,R,/997/8/512/,Cerebellum,CB
505,R,/997/8/343/1129/1097/467/515/,Medial preoptic nucleus,MPN
510,R,/997/8/567/688/695/315/247/1018/520/,"Ventral auditory area, layer 6a",AUDv6a
513,R,/997/8/343/1129/1097/141/523/,Medial preoptic area,MPO
515,R,/997/8/343/1129/1097/467/331/525/,Supramammillary nucleus,SUM
516,R,/997/8/567/688/695/1089/822/909/926/526/,"Entorhinal area, medial part, dorsal zone, layer 1",ENTm1
517,R,/997/8/567/688/695/315/247/1011/527/,"Dorsal auditory area, layer 1",AUDd1
520,R,/997/1009/991/768/1099/530/,dorsal fornix,df
521,R,/997/8/343/313/323/1100/531/,Medial pretectal area,MPT
524,R,/997/8/343/1065/771/987/534/,Supratrigeminal nucleus,SUT
528,R,/997/1009/967/840/21/538/,dorsal limb,lotd
530,R,/997/8/567/688/695/315/922/540/,"Perirhinal area, layer 1",PERI1
532,R,/997/8/567/688/695/315/254/886/542/,"Retrosplenial area, ventral part, layer 1",RSPv1
533,R,/997/8/567/688/695/1089/822/909/926/543/,"Entorhinal area, medial part, dorsal zone, layer 2",ENTm2
534,R,/997/8/567/623/477/278/536/544/,"Central amygdalar nucleus, capsular part",CEAc
539,R,/997/8/343/1129/549/,Thalamus,TH
541,R,/997/8/567/623/477/278/536/551/,"Central amygdalar nucleus, lateral part",CEAl
543,R,/997/1009/960/752/1123/553/,dorsal spinocerebellar tract,sctd
546,R,/997/8/567/688/695/315/44/556/,"Infralimbic area, layer 2/3",ILA2/3
548,R,/997/8/567/688/695/315/453/322/353/558/,"Primary somatosensory area, nose, layer 1",SSp-n1
549,R,/997/8/567/623/477/278/536/559/,"Central amygdalar nucleus, medial part",CEAm
554,R,/997/8/567/623/803/826/904/564/,Medial septal nucleus,MS
555,R,/997/8/567/688/695/315/669/533/565/,"posteromedial visual area, layer 5",VISpm5
556,R,/997/8/567/688/695/698/566/,Postpiriform transition area,TR
563,R,/997/8/567/688/695/315/669/409/573/,"Lateral visual area, layer 4",VISl4
564,R,/997/8/343/1065/771/987/574/,Tegmental reticular nucleus,TRN
565,R,/997/8/343/1129/549/856/51/575/,Central lateral nucleus of the thalamus,CL
566,R,/997/8/343/1065/354/370/576/,Accessory facial motor nucleus,ACVII
567,R,/997/8/567/688/695/315/453/322/369/577/,"Primary somatosensory area, upper limb, layer 4",SSp-ul4
569,R,/997/1009/983/776/956/579/,external capsule,ec
570,R,/997/8/343/313/339/580/,Nucleus of the brachium of the inferior colliculus,NB
571,R,/997/8/567/623/803/826/581/,Triangular nucleus of septum,TRS
572,R,/997/8/567/688/695/315/714/731/582/,"Orbital area, medial part, layer 2/3",ORBm2/3
573,R,/997/8/567/688/703/583/,Claustrum,CLA
577,R,/997/8/343/313/323/795/587/,Nucleus of Darkschewitsch,ND
578,R,/997/8/567/688/695/315/31/48/588/,"Anterior cingulate area, ventral part, layer 1",ACAv1
580,R,/997/8/567/688/695/315/254/886/590/,"Retrosplenial area, ventral part, layer 6a",RSPv6a
581,R,/997/8/343/313/348/165/591/,Central linear nucleus raphe,CLI
583,R,/997/8/567/688/695/315/669/385/593/,"Primary visual area, layer 1",VISp1
585,R,/997/1009/991/824/1083/595/,fasciculus retroflexus,fr
586,R,/997/8/567/623/803/826/904/596/,Diagonal band nucleus,NDB
587,R,/997/8/567/688/695/698/589/597/,"Taenia tecta, dorsal part",TTd
588,R,/997/8/567/688/695/315/247/1018/598/,"Ventral auditory area, layer 6b",AUDv6b
589,R,/997/8/343/1129/549/856/51/599/,Central medial nucleus of the thalamus,CM
590,R,/997/8/567/688/695/315/247/1011/600/,"Dorsal auditory area, layer 2/3",AUDd2/3
591,R,/997/8/567/688/695/315/669/402/601/,"Anterolateral visual area, layer 6a",VISal6a
593,R,/997/1009/991/768/1099/603/,fimbria,fi
594,R,/997/8/343/1065/771/1117/604/,Nucleus incertus,NI
595,R,/997/8/567/688/695/698/589/605/,"Taenia tecta, ventral part",TTv
598,R,/997/8/567/688/695/315/714/746/608/,"Orbital area, ventrolateral part, layer 6a",ORBvl6a
599,R,/997/8/343/1129/549/864/609/,Subparafascicular area,SPA
600,R,/997/8/567/688/695/315/254/879/610/,"Retrosplenial area, dorsal part, layer 5",RSPd5
601,R,/997/1009/991/824/1083/611/,habenular commissure,hbc
602,R,/997/8/343/1065/771/1132/612/,Nucleus of the lateral lemniscus,NLL
603,R,/997/8/567/688/695/315/669/409/613/,"Lateral visual area, layer 5",VISl5
604,R,/997/8/343/1129/1097/290/614/,Tuberal nucleus,TU
606,R,/997/8/343/313/323/616/,Cuneiform nucleus,CUN
610,R,/997/8/567/688/695/315/714/731/620/,"Orbital area, medial part, layer 5",ORBm5
611,R,/997/8/343/1065/771/987/621/,Motor nucleus of trigeminal,V
612,R,/997/8/567/688/695/315/254/886/622/,"Retrosplenial area, ventral part, layer 6b",RSPv6b
615,R,/997/8/567/688/695/315/453/322/369/625/,"Primary somatosensory area, upper limb, layer 5",SSp-ul5
618,R,/997/8/343/313/323/1100/628/,Nucleus of the optic tract,NOT
619,R,/997/8/343/1129/549/864/637/629/,Ventral anterior-lateral complex of the thalamus,VAL
620,R,/997/8/567/688/695/315/714/723/630/,"Orbital area, lateral part, layer 5",ORBl5
622,R,/997/8/567/688/695/1089/1080/726/632/,"Dentate gyrus, granule cell layer",DG-sg
623,R,/997/1009/967/933/948/633/,inferior colliculus commissure,cic
624,R,/997/8/343/313/323/1100/634/,Nucleus of the posterior commissure,NPC
628,R,/997/8/567/688/695/315/1057/638/,"Gustatory areas, layer 6a",GU6a
629,R,/997/8/567/688/695/698/631/639/,"Cortical amygdalar area, anterior part",COAa
632,R,/997/8/343/1065/354/386/642/,Nucleus of the trapezoid body,NTB
633,R,/997/8/567/688/695/315/247/1027/643/,"Posterior auditory area, layer 2/3",AUDpo2/3
638,R,/997/8/567/688/695/315/500/985/648/,"Primary motor area, Layer 5",MOp5
639,R,/997/8/567/688/695/315/669/402/649/,"Anterolateral visual area, layer 6b",VISal6b
641,R,/997/8/343/1065/354/386/651/,Nucleus of the solitary tract,NTS
643,R,/997/8/343/1065/354/370/653/,Abducens nucleus,VI
644,R,/997/8/567/688/695/315/453/322/353/654/,"Primary somatosensory area, nose, layer 4",SSp-n4
645,R,/997/8/567/688/695/698/631/647/655/,"Cortical amygdalar area, posterior part, lateral zone",COApl
646,R,/997/8/567/688/695/315/500/993/656/,"Secondary motor area, layer 1",MOs1
