Region_ID,ID_Path,Region,Abbr,General_Region,R,G,B
34,/997/8/343/1129/1097/157/38/,Paraventricular hypothalamic nucleus,PVH,Hypothalamus__Periventricular_zone,255,93,80
36,/997/8/567/688/695/315/669/533/41/,"posteromedial visual area, layer 2/3",VISpm2/3,Isocortex__Visual__Posteromedial,8,133,140
37,/997/8/343/313/323/294/42/,"Superior colliculus, motor related, deep white layer",SCdw,Midbrain__Motor_related,255,144,255
45,/997/8/343/313/323/795/50/,Precommissural nucleus,PRC,Midbrain__Motor_related,255,144,255
47,/997/8/567/688/695/1089/822/909/918/52/,"Entorhinal area, lateral part, layer 3",ENTl3,Retrohippocampal__Entorhinal__Lateral,50,184,37
49,/997/1009/991/824/54/,medial forebrain bundle,mfb,Fiber_tracts__medial_forebrain_bundle_system,204,204,204
51,/997/8/567/623/477/493/56/,Nucleus accumbens,ACB,Striatum__Ventral,128,205,248
53,/997/8/343/313/323/58/,Medial terminal nucleus of the accessory optic tract,MT,Midbrain__Motor_related,255,144,255
54,/997/8/343/1129/549/856/444/59/,Intermediodorsal nucleus of the thalamus,IMD,Thalamus__Polymodal_association_cortex_related,255,144,159
57,/997/1009/967/832/62/,medial longitudinal fascicle,mlf,Fiber_tracts__Cranial_nerves,204,204,204
58,/997/8/343/1129/1097/467/63/,"Paraventricular hypothalamic nucleus, descending division",PVHd,Hypothalamus__Medial_zone,255,76,62
59,/997/8/343/1129/549/856/239/64/,Anterodorsal nucleus,AD,Thalamus__Polymodal_association_cortex_related,255,144,159
61,/997/8/343/313/323/66/,Lateral terminal nucleus of the accessory optic tract,LT,Midbrain__Motor_related,255,144,255
62,/997/8/343/313/323/795/67/,Interstitial nucleus of Cajal,INC,Midbrain__Motor_related,255,144,255
63,/997/8/567/688/695/315/184/68/,"Frontal pole, layer 1",FRP1,Isocortex__Frontal_pole,38,143,69
67,/997/8/343/1129/1097/141/72/,Anterodorsal preoptic nucleus,ADP,Hypothalamus__Periventricular_region,255,85,71
69,/997/8/567/688/695/315/669/409/74/,"Lateral visual area, layer 6a",VISl6a,Isocortex__Visual__Lateral,8,133,140
70,/997/8/343/313/323/75/,Dorsal terminal nucleus of the accessory optic tract,DT,Midbrain__Motor_related,255,144,255
73,/997/1009/960/752/78/,middle cerebellar peduncle,mcp,Fiber_tracts__Cerebellum_related,204,204,204
76,/997/73/81/,lateral ventricle,VL,Ventricular,170,170,170
78,/997/8/343/1065/354/370/83/,Inferior olivary complex,IO,Medulla__Motor_related,255,179,217
79,/997/8/567/688/695/315/972/84/,"Prelimbic area, layer 6a",PL6a,Isocortex__Prelimbic,47,168,80
83,/997/8/343/1129/1097/467/88/,Anterior hypothalamic nucleus,AHN,Hypothalamus__Medial_zone,255,76,62
86,/997/8/512/519/91/,Interposed nucleus,IP,Cerebellar_nuclei,255,253,188
88,/997/1009/967/901/93/,motor root of the trigeminal nerve,moV,Fiber_tracts__Cranial_nerves,204,204,204
91,/997/8/343/1065/354/386/607/96/,Dorsal cochlear nucleus,DCO,Medulla__Sensory_related,255,165,210
92,/997/8/567/688/695/315/541/97/,"Temporal association areas, layer 1",TEa1,Isocortex__Temporal_association,21,176,179
93,/997/73/81/98/,subependymal zone,SEZ,Ventricular,170,170,170
95,/997/8/343/313/348/165/100/,Interpeduncular nucleus,IPN,Midbrain__Behavioral_state_related,255,166,255
96,/997/8/343/1065/354/386/607/101/,Ventral cochlear nucleus,VCO,Medulla__Sensory_related,255,165,210
97,/997/1009/1000/760/102/,nigrostriatal tract,nst,Fiber_tracts__Extrapyramidal_fiber_system,204,204,204
100,/997/8/343/1065/771/1132/398/105/,"Superior olivary complex, medial part",SOCm,Pons__Sensory_related,255,174,111
101,/997/8/343/1065/354/370/106/,Inferior salivatory nucleus,ISN,Medulla__Motor_related,255,179,217
103,/997/73/81/108/,choroid plexus,chpl,Ventricular,170,170,170
108,/997/8/567/688/695/315/453/322/337/113/,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,Isocortex__Somatosensory__Lower_limb,24,128,100
109,/997/8/343/1065/771/1132/398/114/,"Superior olivary complex, lateral part",SOCl,Pons__Sensory_related,255,174,111
110,/997/8/343/313/323/115/,Trochlear nucleus,IV,Midbrain__Motor_related,255,144,255
112,/997/1009/967/848/117/,optic chiasm,och,Fiber_tracts__Cranial_nerves,204,204,204
113,/997/8/343/1129/1097/157/118/,"Periventricular hypothalamic nucleus, intermediate part",PVi,Hypothalamus__Periventricular_zone,255,93,80
115,/997/8/567/688/695/315/95/111/120/,"Agranular insular area, posterior part, layer 1",AIp1,Isocortex__Agranular_insula__Posterior,33,152,102
116,/997/8/567/688/695/315/669/409/121/,"Lateral visual area, layer 6b",VISl6b,Isocortex__Visual__Lateral,8,133,140
117,/997/8/343/1065/771/1132/398/122/,"Superior olivary complex, periolivary region",POR,Pons__Sensory_related,255,174,111
118,/997/8/343/1065/771/1132/867/123/,Koelliker-Fuse subnucleus,KF,Pons__Sensory_related,255,174,111
120,/997/1009/967/848/125/,optic tract,opt,Fiber_tracts__Cranial_nerves,204,204,204
121,/997/8/343/1129/1097/141/126/,"Periventricular hypothalamic nucleus, posterior part",PVp,Hypothalamus__Periventricular_region,255,85,71
123,/997/8/343/313/323/128/,Midbrain reticular nucleus,MRN,Midbrain__Motor_related,255,144,255
124,/997/73/129/,third ventricle,V3,Ventricular,170,170,170
126,/997/8/567/688/703/131/,Lateral amygdalar nucleus,LA,Cortical_subplate__Amygdala,144,235,141
127,/997/8/567/688/695/315/972/132/,"Prelimbic area, layer 6b",PL6b,Isocortex__Prelimbic,47,168,80
128,/997/8/343/1129/1097/141/133/,"Periventricular hypothalamic nucleus, preoptic part",PVpo,Hypothalamus__Periventricular_region,255,85,71
131,/997/8/343/1065/354/370/136/,Intermediate reticular nucleus,IRN,Medulla__Motor_related,255,179,217
134,/997/8/567/688/695/1089/822/909/918/139/,"Entorhinal area, lateral part, layer 5",ENTl5,Retrohippocampal__Entorhinal__Lateral,50,184,37
135,/997/73/140/,cerebral aqueduct,AQ,Ventricular,170,170,170
138,/997/8/343/1065/354/370/135/143/,"Nucleus ambiguus, ventral division",AMBv,Medulla__Motor_related,255,179,217
140,/997/73/145/,fourth ventricle,V4,Ventricular,170,170,170
141,/997/8/343/1065/771/1117/146/,Pontine reticular nucleus,PRNr,Pons__Behavioral_state_related,255,195,149
142,/997/8/343/1065/771/1117/147/,Locus ceruleus,LC,Pons__Behavioral_state_related,255,195,149
143,/997/8/567/688/695/315/1057/148/,"Gustatory areas, layer 4",GU4,Isocortex__Gustatory,0,156,117
144,/997/8/343/1129/549/856/571/149/,Paraventricular nucleus of the thalamus,PVT,Thalamus__Polymodal_association_cortex_related,255,144,159
148,/997/73/145/153/,lateral recess,V4r,Ventricular,170,170,170
150,/997/8/343/1129/549/856/239/155/,Lateral dorsal nucleus of thalamus,LD,Thalamus__Polymodal_association_cortex_related,255,144,159
151,/997/8/567/688/695/315/247/1011/156/,"Dorsal auditory area, layer 6a",AUDd6a,Isocortex__Auditory__Dorsal,1,147,153
153,/997/1009/967/832/158/,posterior commissure,pc,Fiber_tracts__Cranial_nerves,204,204,204
154,/997/8/567/688/695/698/159/,Anterior olfactory nucleus,AON,Olfactory,84,191,148
157,/997/8/343/1065/771/1117/162/,Laterodorsal tegmental nucleus,LDT,Pons__Behavioral_state_related,255,195,149
158,/997/8/567/688/695/315/95/111/163/,"Agranular insular area, posterior part, layer 2/3",AIp2/3,Isocortex__Agranular_insula__Posterior,33,152,102
159,/997/73/164/,"central canal, spinal cord/medulla",c,Ventricular,170,170,170
164,/997/8/343/1065/354/370/154/169/,Nucleus prepositus,PRP,Medulla__Motor_related,255,179,217
166,/997/8/567/688/695/315/972/171/,"Prelimbic area, layer 1",PL1,Isocortex__Prelimbic,47,168,80
167,/997/8/343/1129/1097/290/173/,Retrochiasmatic area,RCH,Hypothalamus__Lateral_zone,242,72,59
170,/997/8/343/1065/354/370/154/177/,Nucleus of Roller,NR,Medulla__Motor_related,255,179,217
171,/997/8/343/1129/549/856/1014/178/,Ventral part of the lateral geniculate complex,LGv,Thalamus__Polymodal_association_cortex_related,255,144,159
173,/997/8/567/688/695/315/1057/180/,"Gustatory areas, layer 2/3",GU2/3,Isocortex__Gustatory,0,156,117
174,/997/8/343/1129/549/856/571/181/,Nucleus of reuniens,RE,Thalamus__Polymodal_association_cortex_related,255,144,159
179,/997/8/343/1129/549/856/958/186/,Lateral habenula,LH,Thalamus__Polymodal_association_cortex_related,255,144,159
180,/997/8/567/688/695/315/1057/187/,"Gustatory areas, layer 5",GU5,Isocortex__Gustatory,0,156,117
181,/997/8/567/688/695/698/151/188/,"Accessory olfactory bulb, glomerular layer",AOBgl,Olfactory,157,240,210
182,/997/8/343/1129/549/856/51/189/,Rhomboid nucleus,RH,Thalamus__Polymodal_association_cortex_related,255,144,159
183,/997/1009/983/784/190/,pyramid,py,Fiber_tracts__lateral_forebrain_bundle_system,204,204,204
187,/997/8/343/1129/1097/290/194/,Lateral hypothalamic area,LHA,Hypothalamus__Lateral_zone,242,72,59
189,/997/8/567/688/695/698/151/196/,"Accessory olfactory bulb, granular layer",AOBgr,Olfactory,149,228,200
190,/997/8/343/313/348/165/197/,Rostral linear nucleus raphe,RL,Midbrain__Behavioral_state_related,255,166,255
191,/997/1009/983/784/198/,pyramidal decussation,pyd,Fiber_tracts__lateral_forebrain_bundle_system,204,204,204
194,/997/8/567/688/695/315/453/322/329/201/,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,Isocortex__Somatosensory__Barrel_field,24,128,100
195,/997/8/343/1065/354/370/701/202/,Medial vestibular nucleus,MV,Medulla__Motor_related,255,179,217
196,/997/8/343/1065/354/370/203/,Linear nucleus of the medulla,LIN,Medulla__Motor_related,255,179,217
197,/997/8/567/688/695/698/151/204/,"Accessory olfactory bulb, mitral layer",AOBmi,Olfactory,157,240,210
199,/997/8/343/1065/354/379/206/,Nucleus raphe magnus,RM,Medulla__Behavioral_state_related,255,198,226
200,/997/8/343/1065/354/386/207/,Area postrema,AP,Medulla__Sensory_related,255,165,210
202,/997/8/343/1065/354/370/701/209/,Lateral vestibular nucleus,LAV,Medulla__Motor_related,255,179,217
203,/997/8/343/1129/1097/467/331/210/,Lateral mammillary nucleus,LM,Hypothalamus__Medial_zone,255,76,62
204,/997/8/567/688/695/315/31/39/211/,"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,Isocortex__Anterior_Cingulate__Dorsal,64,166,102
207,/997/8/343/313/323/214/,Red nucleus,RN,Midbrain__Motor_related,255,144,255
208,/997/8/343/313/323/1100/215/,Anterior pretectal nucleus,APN,Midbrain__Motor_related,255,144,255
210,/997/8/343/1065/354/370/701/217/,Superior vestibular nucleus,SUV,Medulla__Motor_related,255,179,217
211,/997/8/343/1129/549/856/138/218/,Lateral posterior nucleus of the thalamus,LP,Thalamus__Polymodal_association_cortex_related,255,144,159
213,/997/8/567/688/695/698/507/220/,"Main olfactory bulb, granule layer",MOBgr,Olfactory,130,199,174
215,/997/8/343/1065/354/379/222/,Nucleus raphe obscurus,RO,Medulla__Behavioral_state_related,255,198,226
216,/997/8/343/1129/1097/157/223/,Arcuate hypothalamic nucleus,ARH,Hypothalamus__Periventricular_zone,255,93,80
218,/997/8/343/1065/354/370/701/225/,Spinal vestibular nucleus,SPIV,Medulla__Motor_related,255,179,217
219,/997/8/343/1129/1097/290/226/,Lateral preoptic area,LPO,Hypothalamus__Lateral_zone,242,72,59
221,/997/8/567/688/695/698/507/228/,"Main olfactory bulb, inner plexiform layer",MOBipl,Olfactory,154,210,189
222,/997/1009/967/901/229/,sensory root of the trigeminal nerve,sV,Fiber_tracts__Cranial_nerves,204,204,204
223,/997/8/343/1065/354/379/230/,Nucleus raphe pallidus,RPA,Medulla__Behavioral_state_related,255,198,226
224,/997/8/343/313/323/231/,Anterior tegmental nucleus,AT,Midbrain__Motor_related,255,144,255
226,/997/8/567/688/695/315/669/402/233/,"Anterolateral visual area, layer 5",VISal5,Isocortex__Visual__Anterolateral,8,133,140
227,/997/8/567/688/695/315/541/234/,"Temporal association areas, layer 4",TEa4,Isocortex__Temporal_association,21,176,179
229,/997/8/567/688/695/698/507/236/,"Main olfactory bulb, mitral layer",MOBmi,Olfactory,130,199,174
230,/997/1009/967/917/237/,solitary tract,ts,Fiber_tracts__Cranial_nerves,204,204,204
231,/997/8/343/1065/771/1117/238/,Nucleus raphe pontis,RPO,Pons__Behavioral_state_related,255,195,149
236,/997/8/567/688/695/315/247/1011/243/,"Dorsal auditory area, layer 6b",AUDd6b,Isocortex__Auditory__Dorsal,1,147,153
237,/997/8/567/688/695/698/507/244/,"Main olfactory bulb, outer plexiform layer",MOBopl,Olfactory,154,210,189
239,/997/8/343/313/323/246/,"Midbrain reticular nucleus, retrorubral area",RR,Midbrain__Motor_related,255,144,255
242,/997/8/567/688/695/315/247/1027/249/,"Posterior auditory area, layer 6a",AUDpo6a,Isocortex__Auditory__Posterior,1,147,153
243,/997/8/567/623/477/275/242/250/,"Lateral septal nucleus, caudal (caudodorsal) part",LSc,Striatum__Lateral_septal_complex,144,203,237
244,/997/8/567/688/695/315/247/1002/251/,"Primary auditory area, layer 2/3",AUDp2/3,Isocortex__Auditory__Primary,1,147,153
245,/997/8/567/688/695/315/247/1011/252/,"Dorsal auditory area, layer 5",AUDd5,Isocortex__Auditory__Dorsal,1,147,153
248,/997/8/343/1129/549/856/239/255/,Anteroventral nucleus of thalamus,AV,Thalamus__Polymodal_association_cortex_related,255,144,159
250,/997/8/567/688/695/315/669/533/257/,"posteromedial visual area, layer 6a",VISpm6a,Isocortex__Visual__Posteromedial,8,133,140
251,/997/8/567/623/477/275/242/258/,"Lateral septal nucleus, rostral (rostroventral) part",LSr,Striatum__Lateral_septal_complex,144,203,237
253,/997/8/567/688/695/698/619/260/,"Nucleus of the lateral olfactory tract, molecular layer",NLOT1,Olfactory,149,228,200
255,/997/8/343/1129/549/856/262/,Reticular nucleus of the thalamus,RT,Thalamus__Polymodal_association_cortex_related,255,144,159
256,/997/8/343/1129/1097/141/263/,Anteroventral preoptic nucleus,AVP,Hypothalamus__Periventricular_region,255,85,71
258,/997/8/567/623/477/275/242/266/,"Lateral septal nucleus, ventral part",LSv,Striatum__Lateral_septal_complex,144,203,237
260,/997/8/567/688/695/698/619/268/,"Nucleus of the lateral olfactory tract, pyramidal layer",NLOT2,Olfactory,149,228,200
261,/997/8/567/688/695/315/669/425/269/,"Posterolateral visual area, layer 2/3",VISpl2/3,Isocortex__Visual__Posterolateral,8,133,140
263,/997/8/343/313/339/271/,Nucleus sagulum,SAG,Midbrain__Sensory_related,255,122,255
264,/997/8/343/1129/1097/141/272/,Anteroventral periventricular nucleus,AVPV,Hypothalamus__Periventricular_region,255,85,71
265,/997/8/567/688/695/315/254/879/274/,"Retrosplenial area, dorsal part, layer 6a",RSPd6a,Isocortex__Retrosplenial__Dorsal,26,166,152
270,/997/8/567/688/695/315/254/894/279/,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b,Isocortex__Retrosplenial__Lateral_agranular,26,166,152
271,/997/8/343/1065/771/987/280/,Barrington's nucleus,B,Pons__Motor_related,255,186,134
272,/997/8/567/688/695/315/669/394/281/,"Anteromedial visual area, layer 1",VISam1,Isocortex__Visual__Anteromedial,8,133,140
276,/997/8/343/1129/1097/141/286/,Suprachiasmatic nucleus,SCH,Hypothalamus__Periventricular_region,255,85,71
277,/997/8/567/623/803/809/287/,Bed nucleus of the anterior commissure,BAC,Pallidum,179,192,223
278,/997/8/567/688/695/315/714/746/288/,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,Isocortex__Orbital__Ventrolateral,36,138,94
279,/997/8/567/688/695/315/541/289/,"Temporal association areas, layer 5",TEa5,Isocortex__Temporal_association,21,176,179
282,/997/8/567/623/477/278/292/,Bed nucleus of the accessory olfactory tract,BA,Striatum-like__amygdalar_nuclei,128,192,226
286,/997/8/567/688/695/315/31/48/296/,"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3,Isocortex__Anterior_Cingulate__Ventral,64,166,102
288,/997/8/567/623/803/835/298/,Magnocellular nucleus,MA,Pallidum,162,177,216
291,/997/1009/991/768/301/,stria terminalis,st,Fiber_tracts__medial_forebrain_bundle_system,204,204,204
293,/997/8/567/688/703/295/303/,"Basolateral amygdalar nucleus, anterior part",BLAa,Cortical_subplate__Amygdala,157,231,156
294,/997/8/567/688/695/315/972/304/,"Prelimbic area, layer 2/3",PL2/3,Isocortex__Prelimbic,47,168,80
295,/997/8/567/688/695/315/669/385/305/,"Primary visual area, layer 6b",VISp6b,Isocortex__Visual__Primary,8,133,140
297,/997/8/343/1065/354/370/307/,Magnocellular reticular nucleus,MARN,Medulla__Motor_related,255,179,217
300,/997/8/567/623/477/275/310/,Septofimbrial nucleus,SF,Striatum__Lateral_septal_complex,144,203,237
301,/997/8/567/688/703/295/311/,"Basolateral amygdalar nucleus, posterior part",BLAp,Cortical_subplate__Amygdala,157,231,156
303,/997/8/343/313/,Midbrain,MB,Midbrain__Other,255,100,255
304,/997/8/567/688/695/315/95/111/314/,"Agranular insular area, posterior part, layer 6a",AIp6a,Isocortex__Agranular_insula__Posterior,33,152,102
308,/997/8/343/1065/771/987/318/,Supragenual nucleus,SG,Pons__Motor_related,255,186,134
310,/997/8/567/688/695/315/500/985/320/,"Primary motor area, Layer 1",MOp1,Isocortex__Motor__Primary,31,157,90
311,/997/8/343/1129/549/856/1014/321/,Subgeniculate nucleus,SubG,Thalamus__Polymodal_association_cortex_related,255,144,159
315,/997/8/343/1129/549/856/138/325/,Suprageniculate nucleus,SGN,Thalamus__Polymodal_association_cortex_related,255,144,159
316,/997/1009/960/752/326/,superior cerebelar peduncles,scp,Fiber_tracts__Cerebellum_related,204,204,204
317,/997/8/567/688/703/319/327/,"Basomedial amygdalar nucleus, anterior part",BMAa,Cortical_subplate__Amygdala,132,234,129
318,/997/8/567/688/695/315/95/104/328/,"Agranular insular area, dorsal part, layer 2/3",AId2/3,Isocortex__Agranular_insula__Dorsal,33,152,102
320,/997/8/567/688/695/315/254/879/330/,"Retrosplenial area, dorsal part, layer 6b",RSPd6b,Isocortex__Retrosplenial__Dorsal,26,166,152
322,/997/8/343/1129/1097/157/332/,Accessory supraoptic group,ASO,Hypothalamus__Periventricular_zone,255,93,80
323,/997/8/567/623/477/275/333/,Septohippocampal nucleus,SH,Striatum__Lateral_septal_complex,144,203,237
324,/997/8/567/688/703/319/334/,"Basomedial amygdalar nucleus, posterior part",BMAp,Cortical_subplate__Amygdala,132,234,129
325,/997/8/567/688/695/315/922/335/,"Perirhinal area, layer 6a",PERI6a,Isocortex__Perirhinal,14,150,132
326,/997/1009/967/848/336/,superior colliculus commissure,csc,Fiber_tracts__Cranial_nerves,204,204,204
328,/997/8/343/1129/1097/141/338/,Subfornical organ,SFO,Hypothalamus__Periventricular_region,255,85,71
332,/997/8/567/623/803/835/342/,Substantia innominata,SI,Pallidum,162,177,216
334,/997/8/567/688/695/315/95/111/344/,"Agranular insular area, posterior part, layer 5",AIp5,Isocortex__Agranular_insula__Posterior,33,152,102
337,/997/8/343/1129/1097/141/347/,Subparaventricular zone,SBPV,Hypothalamus__Periventricular_region,255,85,71
339,/997/1009/991/824/349/,supraoptic commissures,sup,Fiber_tracts__medial_forebrain_bundle_system,204,204,204
340,/997/8/343/1065/771/1117/350/,Subceruleus nucleus,SLC,Pons__Behavioral_state_related,255,195,149
341,/997/8/567/623/803/809/351/,Bed nuclei of the stria terminalis,BST,Pallidum,179,192,223
344,/997/8/343/1065/354/,Medulla,MY,Medulla__Other,255,155,205
345,/997/8/567/688/695/315/95/111/355/,"Agranular insular area, posterior part, layer 6b",AIp6b,Isocortex__Agranular_insula__Posterior,33,152,102
346,/997/8/343/1129/1097/290/356/,Preparasubthalamic nucleus,PST,Hypothalamus__Lateral_zone,242,72,59
348,/997/8/343/1065/771/1117/358/,Sublaterodorsal nucleus,SLD,Pons__Behavioral_state_related,255,195,149
352,/997/8/343/1129/549/856/444/362/,Mediodorsal nucleus of thalamus,MD,Thalamus__Polymodal_association_cortex_related,255,144,159
353,/997/8/567/688/695/315/972/363/,"Prelimbic area, layer 5",PL5,Isocortex__Prelimbic,47,168,80
354,/997/8/343/1129/1097/290/364/,Parasubthalamic nucleus,PSTN,Hypothalamus__Lateral_zone,242,72,59
356,/997/8/343/1129/549/856/444/366/,Submedial nucleus of the thalamus,SMT,Thalamus__Polymodal_association_cortex_related,255,144,159
358,/997/8/567/688/695/315/922/368/,"Perirhinal area, layer 6b",PERI6b,Isocortex__Perirhinal,14,150,132
362,/997/8/343/1065/354/370/372/,Infracerebellar nucleus,ICB,Medulla__Motor_related,255,179,217
364,/997/8/343/313/348/374/,"Substantia nigra, compact part",SNc,Midbrain__Behavioral_state_related,255,166,255
367,/997/8/567/688/695/315/669/425/377/,"Posterolateral visual area, layer 6a",VISpl6a,Isocortex__Visual__Posterolateral,8,133,140
370,/997/1009/967/792/932/514/380/,cuneate fascicle,cuf,Fiber_tracts__Cranial_nerves,204,204,204
371,/997/8/343/313/323/381/,"Substantia nigra, reticular part",SNr,Midbrain__Motor_related,255,144,255
380,/997/8/343/1129/1097/157/390/,Supraoptic nucleus,SO,Hypothalamus__Periventricular_zone,255,93,80
381,/997/8/567/688/695/1089/1080/375/382/391/,"Field CA1, stratum lacunosum-moleculare",CA1slm,Hippocampal,126,208,75
383,/997/8/567/688/695/315/669/425/393/,"Posterolateral visual area, layer 6b",VISpl6b,Isocortex__Visual__Posterolateral,8,133,140
387,/997/1009/1000/863/397/,ventral tegmental decussation,vtd,Fiber_tracts__Extrapyramidal_fiber_system,204,204,204
389,/997/8/567/688/695/1089/1080/375/382/399/,"Field CA1, stratum oriens",CA1so,Hippocampal,126,208,75
391,/997/8/567/688/695/315/669/394/401/,"Anteromedial visual area, layer 4",VISam4,Isocortex__Visual__Anteromedial,8,133,140
393,/997/8/567/623/477/278/403/,Medial amygdalar nucleus,MEA,Striatum-like__amygdalar_nuclei,128,192,226
397,/997/8/567/688/695/1089/1080/375/382/407/,"Field CA1, pyramidal layer",CA1sp,Hippocampal,102,168,61
402,/997/8/567/688/695/315/714/723/412/,"Orbital area, lateral part, layer 2/3",ORBl2/3,Isocortex__Orbital__Lateral,36,138,94
403,/997/1009/967/933/413/,vestibular nerve,vVIIIn,Fiber_tracts__Cranial_nerves,204,204,204
404,/997/8/343/1129/549/864/406/414/,"Subparafascicular nucleus, magnocellular part",SPFm,Thalamus__Sensory-motor_cortex_related,255,128,132
405,/997/8/567/688/695/1089/1080/375/382/415/,"Field CA1, stratum radiatum",CA1sr,Hippocampal,126,208,75
411,/997/8/567/688/695/315/669/409/421/,"Lateral visual area, layer 1",VISl1,Isocortex__Visual__Lateral,8,133,140
412,/997/8/343/1129/549/864/406/422/,"Subparafascicular nucleus, parvicellular part",SPFp,Thalamus__Sensory-motor_cortex_related,255,128,132
417,/997/8/567/688/695/315/895/427/,Ectorhinal area/Layer 2/3,ECT2/3,Isocortex__Ectorhinal,13,159,145
418,/997/1009/991/768/1099/737/428/,medial corticohypothalamic tract,mct,Fiber_tracts__medial_forebrain_bundle_system,204,204,204
419,/997/8/343/1065/354/386/429/,"Spinal nucleus of the trigeminal, caudal part",SPVC,Medulla__Sensory_related,255,165,210
420,/997/8/567/688/695/315/254/886/430/,"Retrosplenial area, ventral part, layer 2/3",RSPv2/3,Isocortex__Retrosplenial__Ventral,26,166,152
421,/997/8/567/688/695/1089/1080/375/423/431/,"Field CA2, stratum lacunosum-moleculare",CA2slm,Hippocampal,126,208,75
423,/997/8/567/688/695/315/669/394/433/,"Anteromedial visual area, layer 5",VISam5,Isocortex__Visual__Anteromedial,8,133,140
424,/997/8/567/688/695/315/254/879/434/,"Retrosplenial area, dorsal part, layer 2/3",RSPd2/3,Isocortex__Retrosplenial__Dorsal,26,166,152
426,/997/1009/991/768/1099/737/436/,columns of the fornix,fx,Fiber_tracts__medial_forebrain_bundle_system,204,204,204
427,/997/8/343/1065/354/386/437/,"Spinal nucleus of the trigeminal, interpolar part",SPVI,Medulla__Sensory_related,255,165,210
428,/997/8/567/688/695/1089/1080/375/423/438/,"Field CA2, stratum oriens",CA2so,Hippocampal,126,208,75
430,/997/8/567/688/695/315/714/723/440/,"Orbital area, lateral part, layer 6a",ORBl6a,Isocortex__Orbital__Lateral,36,138,94
431,/997/8/567/688/695/315/669/394/441/,"Anteromedial visual area, layer 6b",VISam6b,Isocortex__Visual__Anteromedial,8,133,140
432,/997/8/567/688/695/315/254/879/442/,"Retrosplenial area, dorsal part, layer 1",RSPd1,Isocortex__Retrosplenial__Dorsal,26,166,152
433,/997/1009/991/768/1099/618/443/,dorsal hippocampal commissure,dhc,Fiber_tracts__medial_forebrain_bundle_system,204,204,204
435,/997/8/343/1065/354/386/445/,"Spinal nucleus of the trigeminal, oral part",SPVO,Medulla__Sensory_related,255,165,210
436,/997/8/567/688/695/1089/1080/375/423/446/,"Field CA2, pyramidal layer",CA2sp,Hippocampal,102,168,61
438,/997/8/567/688/695/315/714/723/448/,"Orbital area, lateral part, layer 1",ORBl1,Isocortex__Orbital__Lateral,36,138,94
