order,structure_ID,lowered_ID,structure_id_path,very_general_region,general_region,full_structure_name,collapsed_region_name,abbreviation,collapsed_region,other_abbreviation,other_abbreviation_defined,layer,sunburst,R,G,B
10,526157196,1289,/997/8/567/688/695/315/184/526157196/,Isocortex,Frontal pole,"Frontal pole, layer 6a",Frontal pole,FRP6a,FRP,,,6a,"FRP6a: rgb(38,142,68)",38,142,68
11,526322264,1290,/997/8/567/688/695/315/184/526322264/,Isocortex,Frontal pole,"Frontal pole, layer 6b",Frontal pole,FRP6b,FRP,,,6b,"FRP6b: rgb(37,143,68)",37,143,68
12,500,#N/A,/997/8/567/688/695/315/500/,Isocortex,Somatomotor,Somatomotor areas,Motor,MO,MO,,,,"MO: rgb(31,156,89)",31,156,89
13,985,#N/A,/997/8/567/688/695/315/500/985/,Isocortex,Motor,Primary motor area,Motor,MOp,MO,p,primary,,"MOp: rgb(30,155,90)",30,155,90
14,320,310,/997/8/567/688/695/315/500/985/320/,Isocortex,Motor,"Primary motor area, Layer 1",Motor,MOp1,MO,p,primary,1,"MOp1: rgb(30,157,90)",30,157,90
15,943,933,/997/8/567/688/695/315/500/985/943/,Isocortex,Motor,"Primary motor area, Layer 2/3",Motor,MOp2/3,MO,p,primary,45325,"MOp2/3: rgb(31,156,88)",31,156,88
16,648,638,/997/8/567/688/695/315/500/985/648/,Isocortex,Motor,"Primary motor area, Layer 5",Motor,MOp5,MO,p,primary,5,"MOp5: rgb(30,156,90)",30,156,90
17,844,834,/997/8/567/688/695/315/500/985/844/,Isocortex,Motor,"Primary motor area, Layer 6a",Motor,MOp6a,MO,p,primary,6a,"MOp6a: rgb(31,155,90)",31,155,90
18,882,872,/997/8/567/688/695/315/500/985/882/,Isocortex,Motor,"Primary motor area, Layer 6b",Motor,MOp6b,MO,p,primary,6b,"MOp6b: rgb(29,157,90)",29,157,90
19,993,#N/A,/997/8/567/688/695/315/500/993/,Isocortex,Motor,Secondary motor area,Motor,MOs,MO,s,secondary,,"MOs: rgb(29,157,89)",29,157,89
20,656,646,/997/8/567/688/695/315/500/993/656/,Isocortex,Motor,"Secondary motor area, layer 1",Motor,MOs1,MO,s,secondary,1,"MOs1: rgb(30,156,89)",30,156,89
21,962,952,/997/8/567/688/695/315/500/993/962/,Isocortex,Motor,"Secondary motor area, layer 2/3",Motor,MOs2/3,MO,s,secondary,45325,"MOs2/3: rgb(30,157,88)",30,157,88
22,767,757,/997/8/567/688/695/315/500/993/767/,Isocortex,Motor,"Secondary motor area, layer 5",Motor,MOs5,MO,s,secondary,5,"MOs5: rgb(31,157,88)",31,157,88
23,1021,1010,/997/8/567/688/695/315/500/993/1021/,Isocortex,Motor,"Secondary motor area, layer 6a",Motor,MOs6a,MO,s,secondary,6a,"MOs6a: rgb(29,156,90)",29,156,90
24,1085,1074,/997/8/567/688/695/315/500/993/1085/,Isocortex,Motor,"Secondary motor area, layer 6b",Motor,MOs6b,MO,s,secondary,6b,"MOs6b: rgb(30,156,88)",30,156,88
25,453,#N/A,/997/8/567/688/695/315/453/,Isocortex,Somatosensory,Somatosensory areas,Somatosensory,SS,SS,,,,"SS: rgb(27,128,97)",27,128,97
26,322,#N/A,/997/8/567/688/695/315/453/322/,Isocortex,Somatosensory,Primary somatosensory area,Somatosensory,SSp,SS,p,primary,,"SSp: rgb(25,128,99)",25,128,99
27,353,#N/A,/997/8/567/688/695/315/453/322/353/,Isocortex,Somatosensory,"Primary somatosensory area, nose",Somatosensory,SSp-n,SS,p-n,primary (nose),,"SSp-n: rgb(26,128,100)",26,128,100
28,558,548,/997/8/567/688/695/315/453/322/353/558/,Isocortex,Somatosensory,"Primary somatosensory area, nose, layer 1",Somatosensory,SSp-n1,SS,p-n,primary (nose),1,"SSp-n1: rgb(25,126,99)",25,126,99
29,838,828,/997/8/567/688/695/315/453/322/353/838/,Isocortex,Somatosensory,"Primary somatosensory area, nose, layer 2/3",Somatosensory,SSp-n2/3,SS,p-n,primary (nose),45325,"SSp-n2/3: rgb(27,127,100)",27,127,100
30,654,644,/997/8/567/688/695/315/453/322/353/654/,Isocortex,Somatosensory,"Primary somatosensory area, nose, layer 4",Somatosensory,SSp-n4,SS,p-n,primary (nose),4,"SSp-n4: rgb(26,128,98)",26,128,98
31,702,692,/997/8/567/688/695/315/453/322/353/702/,Isocortex,Somatosensory,"Primary somatosensory area, nose, layer 5",Somatosensory,SSp-n5,SS,p-n,primary (nose),5,"SSp-n5: rgb(25,126,98)",25,126,98
32,889,879,/997/8/567/688/695/315/453/322/353/889/,Isocortex,Somatosensory,"Primary somatosensory area, nose, layer 6a",Somatosensory,SSp-n6a,SS,p-n,primary (nose),6a,"SSp-n6a: rgb(24,125,98)",24,125,98
33,929,919,/997/8/567/688/695/315/453/322/353/929/,Isocortex,Somatosensory,"Primary somatosensory area, nose, layer 6b",Somatosensory,SSp-n6b,SS,p-n,primary (nose),6b,"SSp-n6b: rgb(27,126,100)",27,126,100
34,329,#N/A,/997/8/567/688/695/315/453/322/329/,Isocortex,Somatosensory,"Primary somatosensory area, barrel field",Somatosensory,SSp-bfd,SS,p-bfd,primary (barrel field),,"SSp-bfd: rgb(25,127,100)",25,127,100
35,981,971,/997/8/567/688/695/315/453/322/329/981/,Isocortex,Somatosensory,"Primary somatosensory area, barrel field, layer 1",Somatosensory,SSp-bfd1,SS,p-bfd,primary (barrel field),1,"SSp-bfd1: rgb(24,128,96)",24,128,96
36,201,194,/997/8/567/688/695/315/453/322/329/201/,Isocortex,Somatosensory,"Primary somatosensory area, barrel field, layer 2/3",Somatosensory,SSp-bfd2/3,SS,p-bfd,primary (barrel field),45325,"SSp-bfd2/3: rgb(24,127,99)",24,127,99
37,1047,1036,/997/8/567/688/695/315/453/322/329/1047/,Isocortex,Somatosensory,"Primary somatosensory area, barrel field, layer 4",Somatosensory,SSp-bfd4,SS,p-bfd,primary (barrel field),4,"SSp-bfd4: rgb(25,124,100)",25,124,100
38,1070,1059,/997/8/567/688/695/315/453/322/329/1070/,Isocortex,Somatosensory,"Primary somatosensory area, barrel field, layer 5",Somatosensory,SSp-bfd5,SS,p-bfd,primary (barrel field),5,"SSp-bfd5: rgb(26,125,98)",26,125,98
39,1038,1027,/997/8/567/688/695/315/453/322/329/1038/,Isocortex,Somatosensory,"Primary somatosensory area, barrel field, layer 6a",Somatosensory,SSp-bfd6a,SS,p-bfd,primary (barrel field),6a,"SSp-bfd6a: rgb(25,128,96)",25,128,96
40,1062,1051,/997/8/567/688/695/315/453/322/329/1062/,Isocortex,Somatosensory,"Primary somatosensory area, barrel field, layer 6b",Somatosensory,SSp-bfd6b,SS,p-bfd,primary (barrel field),6b,"SSp-bfd6b: rgb(26,126,97)",26,126,97
41,337,#N/A,/997/8/567/688/695/315/453/322/337/,Isocortex,Somatosensory,"Primary somatosensory area, lower limb",Somatosensory,SSp-ll,SS,p-ll,primary (lower limb),,"SSp-ll: rgb(25,127,99)",25,127,99
42,1030,1019,/997/8/567/688/695/315/453/322/337/1030/,Isocortex,Somatosensory,"Primary somatosensory area, lower limb, layer 1",Somatosensory,SSp-ll1,SS,p-ll,primary (lower limb),1,"SSp-ll1: rgb(24,127,96)",24,127,96
43,113,108,/997/8/567/688/695/315/453/322/337/113/,Isocortex,Somatosensory,"Primary somatosensory area, lower limb, layer 2/3",Somatosensory,SSp-ll2/3,SS,p-ll,primary (lower limb),45325,"SSp-ll2/3: rgb(24,127,100)",24,127,100
44,1094,1083,/997/8/567/688/695/315/453/322/337/1094/,Isocortex,Somatosensory,"Primary somatosensory area, lower limb, layer 4",Somatosensory,SSp-ll4,SS,p-ll,primary (lower limb),4,"SSp-ll4: rgb(28,127,100)",28,127,100
45,1128,1115,/997/8/567/688/695/315/453/322/337/1128/,Isocortex,Somatosensory,"Primary somatosensory area, lower limb, layer 5",Somatosensory,SSp-ll5,SS,p-ll,primary (lower limb),5,"SSp-ll5: rgb(25,124,99)",25,124,99
46,478,468,/997/8/567/688/695/315/453/322/337/478/,Isocortex,Somatosensory,"Primary somatosensory area, lower limb, layer 6a",Somatosensory,SSp-ll6a,SS,p-ll,primary (lower limb),6a,"SSp-ll6a: rgb(26,127,100)",26,127,100
47,510,500,/997/8/567/688/695/315/453/322/337/510/,Isocortex,Somatosensory,"Primary somatosensory area, lower limb, layer 6b",Somatosensory,SSp-ll6b,SS,p-ll,primary (lower limb),6b,"SSp-ll6b: rgb(25,127,98)",25,127,98
48,345,#N/A,/997/8/567/688/695/315/453/322/345/,Isocortex,Somatosensory,"Primary somatosensory area, mouth",Somatosensory,SSp-m,SS,p-m,primary (mouth),,"SSp-m: rgb(24,128,98)",24,128,98
49,878,868,/997/8/567/688/695/315/453/322/345/878/,Isocortex,Somatosensory,"Primary somatosensory area, mouth, layer 1",Somatosensory,SSp-m1,SS,p-m,primary (mouth),1,"SSp-m1: rgb(24,126,97)",24,126,97
50,657,647,/997/8/567/688/695/315/453/322/345/657/,Isocortex,Somatosensory,"Primary somatosensory area, mouth, layer 2/3",Somatosensory,SSp-m2/3,SS,p-m,primary (mouth),45325,"SSp-m2/3: rgb(26,126,100)",26,126,100
51,950,940,/997/8/567/688/695/315/453/322/345/950/,Isocortex,Somatosensory,"Primary somatosensory area, mouth, layer 4",Somatosensory,SSp-m4,SS,p-m,primary (mouth),4,"SSp-m4: rgb(27,127,98)",27,127,98
52,974,964,/997/8/567/688/695/315/453/322/345/974/,Isocortex,Somatosensory,"Primary somatosensory area, mouth, layer 5",Somatosensory,SSp-m5,SS,p-m,primary (mouth),5,"SSp-m5: rgb(27,126,99)",27,126,99
53,1102,1091,/997/8/567/688/695/315/453/322/345/1102/,Isocortex,Somatosensory,"Primary somatosensory area, mouth, layer 6a",Somatosensory,SSp-m6a,SS,p-m,primary (mouth),6a,"SSp-m6a: rgb(24,125,97)",24,125,97
54,2,2,/997/8/567/688/695/315/453/322/345/2/,Isocortex,Somatosensory,"Primary somatosensory area, mouth, layer 6b",Somatosensory,SSp-m6b,SS,p-m,primary (mouth),6b,"SSp-m6b: rgb(24,128,100)",24,128,100
55,369,#N/A,/997/8/567/688/695/315/453/322/369/,Isocortex,Somatosensory,"Primary somatosensory area, upper limb",Somatosensory,SSp-ul,SS,p-ul,primary (upper limb),,"SSp-ul: rgb(24,126,99)",24,126,99
56,450,440,/997/8/567/688/695/315/453/322/369/450/,Isocortex,Somatosensory,"Primary somatosensory area, upper limb, layer 1",Somatosensory,SSp-ul1,SS,p-ul,primary (upper limb),1,"SSp-ul1: rgb(25,126,100)",25,126,100
57,854,844,/997/8/567/688/695/315/453/322/369/854/,Isocortex,Somatosensory,"Primary somatosensory area, upper limb, layer 2/3",Somatosensory,SSp-ul2/3,SS,p-ul,primary (upper limb),45325,"SSp-ul2/3: rgb(25,127,97)",25,127,97
58,577,567,/997/8/567/688/695/315/453/322/369/577/,Isocortex,Somatosensory,"Primary somatosensory area, upper limb, layer 4",Somatosensory,SSp-ul4,SS,p-ul,primary (upper limb),4,"SSp-ul4: rgb(26,127,99)",26,127,99
59,625,615,/997/8/567/688/695/315/453/322/369/625/,Isocortex,Somatosensory,"Primary somatosensory area, upper limb, layer 5",Somatosensory,SSp-ul5,SS,p-ul,primary (upper limb),5,"SSp-ul5: rgb(24,126,98)",24,126,98
60,945,935,/997/8/567/688/695/315/453/322/369/945/,Isocortex,Somatosensory,"Primary somatosensory area, upper limb, layer 6a",Somatosensory,SSp-ul6a,SS,p-ul,primary (upper limb),6a,"SSp-ul6a: rgb(25,125,97)",25,125,97
61,1026,1015,/997/8/567/688/695/315/453/322/369/1026/,Isocortex,Somatosensory,"Primary somatosensory area, upper limb, layer 6b",Somatosensory,SSp-ul6b,SS,p-ul,primary (upper limb),6b,"SSp-ul6b: rgb(28,128,100)",28,128,100
62,361,#N/A,/997/8/567/688/695/315/453/322/361/,Isocortex,Somatosensory,"Primary somatosensory area, trunk",Somatosensory,SSp-tr,SS,p-tr,primary (trunk),,"SSp-tr: rgb(24,127,98)",24,127,98
63,1006,996,/997/8/567/688/695/315/453/322/361/1006/,Isocortex,Somatosensory,"Primary somatosensory area, trunk, layer 1",Somatosensory,SSp-tr1,SS,p-tr,primary (trunk),1,"SSp-tr1: rgb(24,124,100)",24,124,100
64,670,660,/997/8/567/688/695/315/453/322/361/670/,Isocortex,Somatosensory,"Primary somatosensory area, trunk, layer 2/3",Somatosensory,SSp-tr2/3,SS,p-tr,primary (trunk),45325,"SSp-tr2/3: rgb(24,128,97)",24,128,97
65,1086,1075,/997/8/567/688/695/315/453/322/361/1086/,Isocortex,Somatosensory,"Primary somatosensory area, trunk, layer 4",Somatosensory,SSp-tr4,SS,p-tr,primary (trunk),4,"SSp-tr4: rgb(27,126,98)",27,126,98
66,1111,1100,/997/8/567/688/695/315/453/322/361/1111/,Isocortex,Somatosensory,"Primary somatosensory area, trunk, layer 5",Somatosensory,SSp-tr5,SS,p-tr,primary (trunk),5,"SSp-tr5: rgb(25,127,96)",25,127,96
67,9,8,/997/8/567/688/695/315/453/322/361/9/,Isocortex,Somatosensory,"Primary somatosensory area, trunk, layer 6a",Somatosensory,SSp-tr6a,SS,p-tr,primary (trunk),6a,"SSp-tr6a: rgb(24,128,99)",24,128,99
68,461,451,/997/8/567/688/695/315/453/322/361/461/,Isocortex,Somatosensory,"Primary somatosensory area, trunk, layer 6b",Somatosensory,SSp-tr6b,SS,p-tr,primary (trunk),6b,"SSp-tr6b: rgb(26,128,99)",26,128,99
69,182305689,#N/A,/997/8/567/688/695/315/453/322/182305689/,Isocortex,Somatosensory,"Primary somatosensory area, unassigned",Somatosensory,SSp-un,SS,p-un,primary (unassigned),,"SSp-un: rgb(26,125,100)",26,125,100
70,182305693,1201,/997/8/567/688/695/315/453/322/182305689/182305693/,Isocortex,Somatosensory,"Primary somatosensory area, unassigned, layer 1",Somatosensory,SSp-un1,SS,p-un,primary (unassigned),1,"SSp-un1: rgb(27,128,98)",27,128,98
71,182305697,1202,/997/8/567/688/695/315/453/322/182305689/182305697/,Isocortex,Somatosensory,"Primary somatosensory area, unassigned, layer 2/3",Somatosensory,SSp-un2/3,SS,p-un,primary (unassigned),45325,"SSp-un2/3: rgb(28,127,99)",28,127,99
72,182305701,1203,/997/8/567/688/695/315/453/322/182305689/182305701/,Isocortex,Somatosensory,"Primary somatosensory area, unassigned, layer 4",Somatosensory,SSp-un4,SS,p-un,primary (unassigned),4,"SSp-un4: rgb(25,126,97)",25,126,97
73,182305705,1204,/997/8/567/688/695/315/453/322/182305689/182305705/,Isocortex,Somatosensory,"Primary somatosensory area, unassigned, layer 5",Somatosensory,SSp-un5,SS,p-un,primary (unassigned),5,"SSp-un5: rgb(25,125,98)",25,125,98
74,182305709,1205,/997/8/567/688/695/315/453/322/182305689/182305709/,Isocortex,Somatosensory,"Primary somatosensory area, unassigned, layer 6a",Somatosensory,SSp-un6a,SS,p-un,primary (unassigned),6a,"SSp-un6a: rgb(26,127,97)",26,127,97
75,182305713,1206,/997/8/567/688/695/315/453/322/182305689/182305713/,Isocortex,Somatosensory,"Primary somatosensory area, unassigned, layer 6b",Somatosensory,SSp-un6b,SS,p-un,primary (unassigned),6b,"SSp-un6b: rgb(26,125,99)",26,125,99
76,378,#N/A,/997/8/567/688/695/315/453/378/,Isocortex,Somatosensory,Supplemental somatosensory area,Somatosensory,SSs,SS,s,supplemental,,"SSs: rgb(25,128,98)",25,128,98
77,873,863,/997/8/567/688/695/315/453/378/873/,Isocortex,Somatosensory,"Supplemental somatosensory area, layer 1",Somatosensory,SSs1,SS,s,supplemental,1,"SSs1: rgb(26,126,98)",26,126,98
78,806,796,/997/8/567/688/695/315/453/378/806/,Isocortex,Somatosensory,"Supplemental somatosensory area, layer 2/3",Somatosensory,SSs2/3,SS,s,supplemental,45325,"SSs2/3: rgb(27,128,99)",27,128,99
79,1035,1024,/997/8/567/688/695/315/453/378/1035/,Isocortex,Somatosensory,"Supplemental somatosensory area, layer 4",Somatosensory,SSs4,SS,s,supplemental,4,"SSs4: rgb(24,124,99)",24,124,99
80,1090,1079,/997/8/567/688/695/315/453/378/1090/,Isocortex,Somatosensory,"Supplemental somatosensory area, layer 5",Somatosensory,SSs5,SS,s,supplemental,5,"SSs5: rgb(28,128,99)",28,128,99
81,862,852,/997/8/567/688/695/315/453/378/862/,Isocortex,Somatosensory,"Supplemental somatosensory area, layer 6a",Somatosensory,SSs6a,SS,s,supplemental,6a,"SSs6a: rgb(25,125,99)",25,125,99
82,893,883,/997/8/567/688/695/315/453/378/893/,Isocortex,Somatosensory,"Supplemental somatosensory area, layer 6b",Somatosensory,SSs6b,SS,s,supplemental,6b,"SSs6b: rgb(26,128,97)",26,128,97
83,1057,#N/A,/997/8/567/688/695/315/1057/,Isocortex,Gustatory,Gustatory areas,Gustatory,GU,GU,,,,"GU: rgb(1,155,117)",1,155,117
84,36,32,/997/8/567/688/695/315/1057/36/,Isocortex,Gustatory,"Gustatory areas, layer 1",Gustatory,GU1,GU,,,1,"GU1: rgb(0,156,117)",0,156,117
85,180,173,/997/8/567/688/695/315/1057/180/,Isocortex,Gustatory,"Gustatory areas, layer 2/3",Gustatory,GU2/3,GU,,,45325,"GU2/3: rgb(0,155,117)",0,155,117
86,148,143,/997/8/567/688/695/315/1057/148/,Isocortex,Gustatory,"Gustatory areas, layer 4",Gustatory,GU4,GU,,,4,"GU4: rgb(0,156,116)",0,156,116
87,187,180,/997/8/567/688/695/315/1057/187/,Isocortex,Gustatory,"Gustatory areas, layer 5",Gustatory,GU5,GU,,,5,"GU5: rgb(1,156,117)",1,156,117
88,638,628,/997/8/567/688/695/315/1057/638/,Isocortex,Gustatory,"Gustatory areas, layer 6a",Gustatory,GU6a,GU,,,6a,"GU6a: rgb(0,155,116)",0,155,116
89,662,652,/997/8/567/688/695/315/1057/662/,Isocortex,Gustatory,"Gustatory areas, layer 6b",Gustatory,GU6b,GU,,,6b,"GU6b: rgb(1,156,116)",1,156,116
90,677,#N/A,/997/8/567/688/695/315/677/,Isocortex,Visceral,Visceral area,Visceral,VISC,VISC,,,,"VISC: rgb(17,173,131)",17,173,131
91,897,887,/997/8/567/688/695/315/677/897/,Isocortex,Visceral,"Visceral area, layer 1",Visceral,VISC1,VISC,,,1,"VISC1: rgb(18,173,131)",18,173,131
92,1106,1095,/997/8/567/688/695/315/677/1106/,Isocortex,Visceral,"Visceral area, layer 2/3",Visceral,VISC2/3,VISC,,,45325,"VISC2/3: rgb(18,172,131)",18,172,131
93,1010,1000,/997/8/567/688/695/315/677/1010/,Isocortex,Visceral,"Visceral area, layer 4",Visceral,VISC4,VISC,,,4,"VISC4: rgb(17,172,130)",17,172,130
94,1058,1047,/997/8/567/688/695/315/677/1058/,Isocortex,Visceral,"Visceral area, layer 5",Visceral,VISC5,VISC,,,5,"VISC5: rgb(18,173,130)",18,173,130
95,857,847,/997/8/567/688/695/315/677/857/,Isocortex,Visceral,"Visceral area, layer 6a",Visceral,VISC6a,VISC,,,6a,"VISC6a: rgb(17,172,131)",17,172,131
96,849,839,/997/8/567/688/695/315/677/849/,Isocortex,Visceral,"Visceral area, layer 6b",Visceral,VISC6b,VISC,,,6b,"VISC6b: rgb(17,173,130)",17,173,130
97,247,#N/A,/997/8/567/688/695/315/247/,Isocortex,Auditory,Auditory areas,Auditory,AUD,AUD,,,,"AUD: rgb(1,146,153)",1,146,153
98,1011,#N/A,/997/8/567/688/695/315/247/1011/,Isocortex,Auditory,Dorsal auditory area,Auditory,AUDd,AUD,d,dorsal,,"AUDd: rgb(4,147,153)",4,147,153
99,527,517,/997/8/567/688/695/315/247/1011/527/,Isocortex,Auditory,"Dorsal auditory area, layer 1",Auditory,AUDd1,AUD,d,dorsal,1,"AUDd1: rgb(3,147,153)",3,147,153
100,600,590,/997/8/567/688/695/315/247/1011/600/,Isocortex,Auditory,"Dorsal auditory area, layer 2/3",Auditory,AUDd2/3,AUD,d,dorsal,45325,"AUDd2/3: rgb(2,147,151)",2,147,151
101,678,668,/997/8/567/688/695/315/247/1011/678/,Isocortex,Auditory,"Dorsal auditory area, layer 4",Auditory,AUDd4,AUD,d,dorsal,4,"AUDd4: rgb(3,147,152)",3,147,152
102,252,245,/997/8/567/688/695/315/247/1011/252/,Isocortex,Auditory,"Dorsal auditory area, layer 5",Auditory,AUDd5,AUD,d,dorsal,5,"AUDd5: rgb(2,147,152)",2,147,152
103,156,151,/997/8/567/688/695/315/247/1011/156/,Isocortex,Auditory,"Dorsal auditory area, layer 6a",Auditory,AUDd6a,AUD,d,dorsal,6a,"AUDd6a: rgb(1,147,153)",1,147,153
104,243,236,/997/8/567/688/695/315/247/1011/243/,Isocortex,Auditory,"Dorsal auditory area, layer 6b",Auditory,AUDd6b,AUD,d,dorsal,6b,"AUDd6b: rgb(1,147,152)",1,147,152
105,1002,#N/A,/997/8/567/688/695/315/247/1002/,Isocortex,Auditory,Primary auditory area,Auditory,AUDp,AUD,p,primary,,"AUDp: rgb(3,146,151)",3,146,151
106,735,725,/997/8/567/688/695/315/247/1002/735/,Isocortex,Auditory,"Primary auditory area, layer 1",Auditory,AUDp1,AUD,p,primary,1,"AUDp1: rgb(2,146,151)",2,146,151
107,251,244,/997/8/567/688/695/315/247/1002/251/,Isocortex,Auditory,"Primary auditory area, layer 2/3",Auditory,AUDp2/3,AUD,p,primary,45325,"AUDp2/3: rgb(1,146,152)",1,146,152
108,816,806,/997/8/567/688/695/315/247/1002/816/,Isocortex,Auditory,"Primary auditory area, layer 4",Auditory,AUDp4,AUD,p,primary,4,"AUDp4: rgb(3,147,151)",3,147,151
109,847,837,/997/8/567/688/695/315/247/1002/847/,Isocortex,Auditory,"Primary auditory area, layer 5",Auditory,AUDp5,AUD,p,primary,5,"AUDp5: rgb(3,145,153)",3,145,153
110,954,944,/997/8/567/688/695/315/247/1002/954/,Isocortex,Auditory,"Primary auditory area, layer 6a",Auditory,AUDp6a,AUD,p,primary,6a,"AUDp6a: rgb(1,147,150)",1,147,150
111,1005,995,/997/8/567/688/695/315/247/1002/1005/,Isocortex,Auditory,"Primary auditory area, layer 6b",Auditory,AUDp6b,AUD,p,primary,6b,"AUDp6b: rgb(3,145,152)",3,145,152
112,1027,#N/A,/997/8/567/688/695/315/247/1027/,Isocortex,Auditory,Posterior auditory area,Auditory,AUDpo,AUD,po,posterior,,"AUDpo: rgb(2,147,150)",2,147,150
113,696,686,/997/8/567/688/695/315/247/1027/696/,Isocortex,Auditory,"Posterior auditory area, layer 1",Auditory,AUDpo1,AUD,po,posterior,1,"AUDpo1: rgb(3,146,153)",3,146,153
114,643,633,/997/8/567/688/695/315/247/1027/643/,Isocortex,Auditory,"Posterior auditory area, layer 2/3",Auditory,AUDpo2/3,AUD,po,posterior,45325,"AUDpo2/3: rgb(2,145,153)",2,145,153
115,759,749,/997/8/567/688/695/315/247/1027/759/,Isocortex,Auditory,"Posterior auditory area, layer 4",Auditory,AUDpo4,AUD,po,posterior,4,"AUDpo4: rgb(3,146,152)",3,146,152
116,791,781,/997/8/567/688/695/315/247/1027/791/,Isocortex,Auditory,"Posterior auditory area, layer 5",Auditory,AUDpo5,AUD,po,posterior,5,"AUDpo5: rgb(1,145,151)",1,145,151
117,249,242,/997/8/567/688/695/315/247/1027/249/,Isocortex,Auditory,"Posterior auditory area, layer 6a",Auditory,AUDpo6a,AUD,po,posterior,6a,"AUDpo6a: rgb(2,147,153)",2,147,153
118,456,446,/997/8/567/688/695/315/247/1027/456/,Isocortex,Auditory,"Posterior auditory area, layer 6b",Auditory,AUDpo6b,AUD,po,posterior,6b,"AUDpo6b: rgb(2,146,152)",2,146,152
119,1018,#N/A,/997/8/567/688/695/315/247/1018/,Isocortex,Auditory,Ventral auditory area,Auditory,AUDv,AUD,v,ventral,,"AUDv: rgb(1,146,150)",1,146,150
120,959,949,/997/8/567/688/695/315/247/1018/959/,Isocortex,Auditory,"Ventral auditory area, layer 1",Auditory,AUDv1,AUD,v,ventral,1,"AUDv1: rgb(1,144,153)",1,144,153
121,755,745,/997/8/567/688/695/315/247/1018/755/,Isocortex,Auditory,"Ventral auditory area, layer 2/3",Auditory,AUDv2/3,AUD,v,ventral,45325,"AUDv2/3: rgb(2,145,152)",2,145,152
122,990,980,/997/8/567/688/695/315/247/1018/990/,Isocortex,Auditory,"Ventral auditory area, layer 4",Auditory,AUDv4,AUD,v,ventral,4,"AUDv4: rgb(2,145,151)",2,145,151
123,1023,1012,/997/8/567/688/695/315/247/1018/1023/,Isocortex,Auditory,"Ventral auditory area, layer 5",Auditory,AUDv5,AUD,v,ventral,5,"AUDv5: rgb(1,144,152)",1,144,152
124,520,510,/997/8/567/688/695/315/247/1018/520/,Isocortex,Auditory,"Ventral auditory area, layer 6a",Auditory,AUDv6a,AUD,v,ventral,6a,"AUDv6a: rgb(1,147,151)",1,147,151
125,598,588,/997/8/567/688/695/315/247/1018/598/,Isocortex,Auditory,"Ventral auditory area, layer 6b",Auditory,AUDv6b,AUD,v,ventral,6b,"AUDv6b: rgb(1,145,152)",1,145,152
126,669,#N/A,/997/8/567/688/695/315/669/,Isocortex,Visual,Visual areas,Visual,VIS,VIS,,,,"VIS: rgb(9,132,137)",9,132,137
127,402,#N/A,/997/8/567/688/695/315/669/402/,Isocortex,Visual,Anterolateral visual area,Visual,VISal,VIS,al,anterolateral,,"VISal: rgb(9,131,140)",9,131,140
128,1074,1063,/997/8/567/688/695/315/669/402/1074/,Isocortex,Visual,"Anterolateral visual area, layer 1",Visual,VISal1,VIS,al,anterolateral,1,"VISal1: rgb(11,131,139)",11,131,139
129,905,895,/997/8/567/688/695/315/669/402/905/,Isocortex,Visual,"Anterolateral visual area, layer 2/3",Visual,VISal2/3,VIS,al,anterolateral,45325,"VISal2/3: rgb(9,131,137)",9,131,137
