neurotransmitter,class,subclass,supertype,cluster
,,053 Sst Gaba,0053 L2 IT ENT-po Glut_3,0053 L6 IT CTX Glut_5
,,054 STR Prox1 Lhx6 Gaba,0054 L2 IT ENT-po Glut_4,0054 L6 IT CTX Glut_5
,,055 STR Lhx8 Gaba,0055 MEA Slc17a7 Glut_1,0055 L5 IT CTX Glut_1
,,056 Sst Chodl Gaba,0056 MEA Slc17a7 Glut_2,0056 L5 IT CTX Glut_1
,,057 NDB-SI-MA-STRv Lhx8 Gaba,0057 MEA Slc17a7 Glut_3,0057 L5 IT CTX Glut_1
,,058 PAL-STR Gaba-Chol,0058 COAp Grxcr2 Glut_1,0058 L5 IT CTX Glut_2
,,059 GPe-SI Sox6 Cyp26b1 Gaba,0059 COAp Grxcr2 Glut_2,0059 L5 IT CTX Glut_2
,,060 OT D3 Folh1 Gaba,0060 LA-BLA-BMA-PA Glut_1,0060 L5 IT CTX Glut_2
,,061 STR D1 Gaba,0061 LA-BLA-BMA-PA Glut_2,0061 L5 IT CTX Glut_3
,,062 STR D2 Gaba,0062 LA-BLA-BMA-PA Glut_3,0062 L5 IT CTX Glut_3
,,063 STR D1 Sema5a Gaba,0063 LA-BLA-BMA-PA Glut_4,0063 L5 IT CTX Glut_4
,,064 STR-PAL Chst9 Gaba,0064 LA-BLA-BMA-PA Glut_5,0064 L5 IT CTX Glut_4
,,065 IA Mgp Gaba,0065 LA-BLA-BMA-PA Glut_6,0065 L5 IT CTX Glut_5
,,066 NDB-SI-ant Prdm12 Gaba,0066 ENTmv-PA-COAp Glut_1,0066 L4/5 IT CTX Glut_1
,,067 LSX Sall3 Pax6 Gaba,0067 ENTmv-PA-COAp Glut_2,0067 L4/5 IT CTX Glut_1
,,068 LSX Otx2 Gaba,0068 ENTmv-PA-COAp Glut_3,0068 L4/5 IT CTX Glut_1
,,069 LSX Nkx2-1 Gaba,0069 CA1-ProS Glut_1,0069 L4/5 IT CTX Glut_1
,,070 LSX Prdm12 Slit2 Gaba,0070 CA1-ProS Glut_2,0070 L4/5 IT CTX Glut_1
,,071 LSX Prdm12 Zeb2 Gaba,0071 CA1-ProS Glut_3,0071 L4/5 IT CTX Glut_1
,,072 LSX Sall3 Lmo1 Gaba,0072 CA1-ProS Glut_4,0072 L4/5 IT CTX Glut_1
,,073 MEA-BST Sox6 Gaba,0073 CA1-ProS Glut_5,0073 L4/5 IT CTX Glut_1
,,074 MEA-BST Lhx6 Sp9 Gaba,0074 CA1-ProS Glut_6,0074 L4/5 IT CTX Glut_1
,,075 MEA-BST Lhx6 Nr2e1 Gaba,0075 CA3 Glut_1,0075 L4/5 IT CTX Glut_2
,,076 MEA-BST Lhx6 Nfib Gaba,0076 CA3 Glut_2,0076 L4/5 IT CTX Glut_2
,,077 CEA-BST Gal Avp Gaba,0077 CA3 Glut_3,0077 L4/5 IT CTX Glut_2
,,078 SI-MA-ACB Ebf1 Bnc2 Gaba,0078 CA3 Glut_4,0078 L4/5 IT CTX Glut_2
,,079 CEA-BST Six3 Cyp26b1 Gaba,0079 CA3 Glut_5,0079 L4/5 IT CTX Glut_2
,,080 CEA-AAA-BST Six3 Sp9 Gaba,0080 L2 IT PPP-APr Glut_1,0080 L4/5 IT CTX Glut_2
,,081 ACB-BST-FS D1 Gaba,0081 L2 IT PPP-APr Glut_2,0081 L4/5 IT CTX Glut_2
,,082 CEA-BST Ebf1 Pdyn Gaba,0082 L2 IT PPP-APr Glut_3,0082 L4/5 IT CTX Glut_2
,,083 CEA-BST Rai14 Pdyn Crh Gaba,0083 L2 IT PPP-APr Glut_4,0083 L4/5 IT CTX Glut_3
,,084 BST-SI-AAA Six3 Slc22a3 Gaba,0084 L2/3 IT PPP Glut_1,0084 L4/5 IT CTX Glut_3
,,085 SI-MPO-LPO Lhx8 Gaba,0085 L2/3 IT PPP Glut_2,0085 L4/5 IT CTX Glut_3
,,086 MPO-ADP Lhx8 Gaba,0086 L2/3 IT PPP Glut_3,0086 L4/5 IT CTX Glut_3
,,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,0087 L2/3 IT RSP Glut_1,0087 L4/5 IT CTX Glut_3
,,088 BST Tac2 Gaba,0088 L2/3 IT RSP Glut_2,0088 L4/5 IT CTX Glut_3
,,089 PVR Six3 Sox3 Gaba,0089 L4 RSP-ACA Glut_1,0089 L4/5 IT CTX Glut_4
,,090 BST-MPN Six3 Nrgn Gaba,0090 L5 ET CTX Glut_1,0090 L4/5 IT CTX Glut_4
,,091 ARH-PVi Six6 Dopa-Gaba,0091 L5 ET CTX Glut_2,0091 L4/5 IT CTX Glut_4
,,092 TMv-PMv Tbx3 Hist-Gaba,0092 L5 ET CTX Glut_3,0092 L4/5 IT CTX Glut_4
,,093 RT-ZI Gnb3 Gaba,0093 L5 ET CTX Glut_4,0093 L4/5 IT CTX Glut_4
,,094 SCH Six6 Cdc14a Gaba,0094 L5 ET CTX Glut_5,0094 L4/5 IT CTX Glut_4
,,095 DMH Prdm13 Gaba,0095 L5 ET CTX Glut_6,0095 L4/5 IT CTX Glut_5
,,096 PVHd Gsc Gaba,0096 SUB-ProS Glut_1,0096 L4/5 IT CTX Glut_5
,,097 PVHd-SBPV Six3 Prox1 Gaba,0097 SUB-ProS Glut_2,0097 L4/5 IT CTX Glut_5
,,098 AHN-SBPV-PVHd Pdrm12 Gaba,0098 SUB-ProS Glut_3,0098 L4/5 IT CTX Glut_5
,,099 SBPV-PVa Six6 Satb2 Gaba,0099 L5 PPP Glut_1,0099 L4/5 IT CTX Glut_6
,,100 AHN Onecut3 Gaba,0100 CA2-FC-IG Glut_1,0100 L4/5 IT CTX Glut_6
,,101 ZI Pax6 Gaba,0101 CA2-FC-IG Glut_2,0101 L4/5 IT CTX Glut_6
,,102 DMH-LHA Gsx1 Gaba,0102 NLOT Rho Glut_1,0102 L4/5 IT CTX Glut_6
,,103 PVHd-DMH Lhx6 Gaba,0103 L6b EPd Glut_1,0103 L2/3 IT CTX Glut_1
,,104 TU-ARH Otp Six6 Gaba,0104 L6b EPd Glut_2,0104 L2/3 IT CTX Glut_1
,,105 TMd-DMH Foxd2 Gaba,0105 L6b EPd Glut_3,0105 L2/3 IT CTX Glut_1
,,106 PVpo-VMPO-MPN Hmx2 Gaba,0106 L6b/CT ENT Glut_1,0106 L2/3 IT CTX Glut_1
,,107 DMH Hmx2 Gaba,0107 L6b/CT ENT Glut_2,0107 L2/3 IT CTX Glut_1
,,108 ARH-PVp Tbx3 Gaba,0108 L6b/CT ENT Glut_3,0108 L2/3 IT CTX Glut_2
,,109 LGv-ZI Otx2 Gaba,0109 L6b/CT ENT Glut_4,0109 L2/3 IT CTX Glut_2
,,110 BST-po Iigp1 Glut,0110 L6b CTX Glut_1,0110 L2/3 IT CTX Glut_2
,,111 TRS-BAC Sln Glut,0111 L6b CTX Glut_2,0111 L2/3 IT CTX Glut_2
,,112 GPi Tbr1 Cngb3 Gaba-Glut,0112 L6b CTX Glut_3,0112 L2/3 IT CTX Glut_2
,,113 MEA-COA-BMA Ccdc42 Glut,0113 L6b CTX Glut_4,0113 L2/3 IT CTX Glut_3
,,114 COAa-PAA-MEA Barhl2 Glut,0114 L6 CT CTX Glut_1,0114 L2/3 IT CTX Glut_3
,,115 MS-SF Bsx Glut,0115 L6 CT CTX Glut_2,0115 L2/3 IT CTX Glut_3
,,116 AVPV-MEPO-SFO Tbr1 Glut,0116 L6 CT CTX Glut_3,0116 L2/3 IT CTX Glut_3
,,117 LHA Barhl2 Glut,0117 L6 CT CTX Glut_4,0117 L2/3 IT CTX Glut_4
,,118 ADP-MPO Trp73 Glut,0118 L6 CT CTX Glut_5,0118 L2/3 IT CTX Glut_4
,,119 SI-MA-LPO-LHA Skor1 Glut,0119 L6 CT CTX Glut_6,0119 L2/3 IT CTX Glut_4
,,120 MEA Otp Foxp2 Glut,0120 CT SUB Glut_1,0120 L2/3 IT CTX Glut_4
,,121 MEA-BST Otp Zic2 Glut,0121 CT SUB Glut_2,0121 L2/3 IT ENT Glut_1
,,122 LHA-MEA Otp Glut,0122 L5 NP CTX Glut_1,0122 L2/3 IT ENT Glut_1
,,123 DMH Nkx2-4 Glut,0123 L5 NP CTX Glut_2,0123 L2/3 IT ENT Glut_1
,,124 MPN-MPO-PVpo Hmx2 Glut,0124 L5 NP CTX Glut_3,0124 L2/3 IT ENT Glut_2
,,125 DMH Hmx2 Glut,0125 L5 NP CTX Glut_4,0125 L2/3 IT ENT Glut_2
,,126 ARH-PVp Tbx3 Glut,0126 L5 NP CTX Glut_5,0126 L2/3 IT ENT Glut_2
,,127 DMH-LHA Vgll2 Glut,0127 NP SUB Glut_1,0127 L2/3 IT ENT Glut_3
,,128 VMH Fezf1 Glut,0128 NP SUB Glut_2,0128 L2/3 IT ENT Glut_3
,,129 VMH Nr5a1 Glut,0129 NP PPP Glut_1,0129 L2/3 IT ENT Glut_3
,,130 LHA Pmch Glut,0130 OB Eomes Ms4a15 Glut_1,0130 L2/3 IT ENT Glut_4
,,131 LHA-AHN-PVH Otp Trh Glut,0131 OB Eomes Ms4a15 Glut_2,0131 L2/3 IT ENT Glut_4
,,132 AHN-RCH-LHA Otp Fezf1 Glut,0132 OB Eomes Ms4a15 Glut_3,0132 L2/3 IT ENT Glut_4
,,133 PVH-SO-PVa Otp Glut,0133 OB Eomes Ms4a15 Glut_4,0133 L2/3 IT ENT Glut_5
,,134 PH-ant-LHA Otp Bsx Glut,0134 OB Eomes Ms4a15 Glut_5,0134 L2/3 IT ENT Glut_5
,,135 STN-PSTN Pitx2 Glut,0135 HPF CR Glut_1,0135 L2/3 IT ENT Glut_5
,,136 PMv-TMv Pitx2 Glut,0136 DG Glut_1,0136 L2/3 IT ENT Glut_6
,,137 PH-an Pitx2 Glut,0137 DG Glut_2,0137 L2/3 IT ENT Glut_6
,,138 PH Pitx2 Glut,0138 DG Glut_3,0138 L2/3 IT PIR-ENTl Glut_1
,,139 PH-LHA Foxb1 Glut,0139 DG Glut_4,0139 L2/3 IT PIR-ENTl Glut_1
,,140 PMd-LHA Foxb1 Glut,0140 DG-PIR Ex IMN_1,0140 L2/3 IT PIR-ENTl Glut_1
,,141 PH-SUM Foxa1 Glut,0141 DG-PIR Ex IMN_2,0141 L2/3 IT PIR-ENTl Glut_1
,,142 HY Gnrh1 Glut,0142 DG-PIR Ex IMN_3,0142 L2/3 IT PIR-ENTl Glut_1
,,143 MM-ant Foxb1 Glut,0143 OB Meis2 Thsd7b Gaba_1,0143 L2/3 IT PIR-ENTl Glut_1
,,144 MM Foxb1 Glut,0144 OB Meis2 Thsd7b Gaba_2,0144 L2/3 IT PIR-ENTl Glut_2
,,145 MH Tac2 Glut,0145 OB Meis2 Thsd7b Gaba_3,0145 L2/3 IT PIR-ENTl Glut_2
,,146 LH Pou4f1 Sox1 Glut,0146 OB Meis2 Thsd7b Gaba_4,0146 L2/3 IT PIR-ENTl Glut_2
,,147 AD Serpinb7 Glut,0147 OB Meis2 Thsd7b Gaba_5,0147 L2/3 IT PIR-ENTl Glut_2
,,148 AV Col27a1 Glut,0148 OB Trdn Gaba_1,0148 L2/3 IT PIR-ENTl Glut_2
,,149 PVT-PT Ntrk1 Glut,0149 OB Trdn Gaba_2,0149 L2/3 IT PIR-ENTl Glut_3
,,150 CM-IAD-CL-PCN Sema5b Glut,0150 OB-in Frmd7 Gaba_1,0150 L2/3 IT PIR-ENTl Glut_3
,,151 TH Prkcd Grin2c Glut,0151 OB-in Frmd7 Gaba_2,0151 L2/3 IT PIR-ENTl Glut_3
,,152 RE-Xi Nox4 Glut,0152 OB-in Frmd7 Gaba_3,0152 L2/3 IT PIR-ENTl Glut_3
,,153 MG-POL-SGN Nts Glut,0153 OB-in Frmd7 Gaba_4,0153 L2/3 IT PIR-ENTl Glut_3
,,154 PF Fzd5 Glut,0154 OB-in Frmd7 Gaba_5,0154 L2/3 IT PIR-ENTl Glut_3
,,155 PRC-PAG Pax6 Glut,0155 OB-in Frmd7 Gaba_6,0155 L2/3 IT PIR-ENTl Glut_4
,,156 MB-ant-ve Dmrta2 Glut,0156 OB-in Frmd7 Gaba_7,0156 L2/3 IT PIR-ENTl Glut_4
,,157 RN Spp1 Glut,0157 OB-in Frmd7 Gaba_8,0157 L2/3 IT PIR-ENTl Glut_4
,,158 MRN-PAG Nkx6-1 Glut,0158 OB-out Frmd7 Gaba_1,0158 L2/3 IT PIR-ENTl Glut_4
,,159 IF-RL-CLI-PAG Foxa1 Glut,0159 OB-out Frmd7 Gaba_2,0159 L2/3 IT PIR-ENTl Glut_4
,,160 PAG-SC Neurod2 Meis2 Glut,0160 OB-out Frmd7 Gaba_3,0160 L2/3 IT PIR-ENTl Glut_4
,,161 PAG Pou4f3 Glut,0161 OB-mi Frmd7 Gaba_1,0161 L2/3 IT PIR-ENTl Glut_5
,,162 CUN Evx2 Lhx2 Glut,0162 OB Dopa-Gaba_1,0162 L2/3 IT PIR-ENTl Glut_6
,,163 APN C1ql2 Glut,0163 OB Dopa-Gaba_2,0163 L2/3 IT PIR-ENTl Glut_6
,,164 APN C1ql4 Glut,0164 OB Dopa-Gaba_3,0164 L2/3 IT PIR-ENTl Glut_7
,,165 PAG-MRN Pou3f1 Glut,0165 OB Dopa-Gaba_4,0165 L2/3 IT PIR-ENTl Glut_7
,,166 MRN Pou3f1 C1ql4 Glut,0166 OB-STR-CTX Inh IMN_1,0166 IT AON-TT-DP Glut_1
,,167 PRC-PAG Tcf7l2 Irx2 Glut,0167 OB-STR-CTX Inh IMN_2,0167 IT AON-TT-DP Glut_1
,,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,0168 OB-STR-CTX Inh IMN_3,0168 IT AON-TT-DP Glut_1
,,169 PAG-SC Pou4f1 Zic1 Glut,0169 OB-STR-CTX Inh IMN_4,0169 IT AON-TT-DP Glut_1
,,170 PAG-MRN Tfap2b Glut,0170 OB-STR-CTX Inh IMN_5,0170 IT AON-TT-DP Glut_1
,,171 PAG Pou4f1 Bnc2 Glut,0171 OB-STR-CTX Inh IMN_6,0171 IT AON-TT-DP Glut_2
,,172 PAG Pou4f1 Ebf2 Glut,0172 OB-STR-CTX Inh IMN_7,0172 IT AON-TT-DP Glut_2
,,173 PAG Pou4f2 Glut,0173 Vip Gaba_1,0173 IT AON-TT-DP Glut_2
,,174 PAG Pou4f2 Mesi2 Glut,0174 Vip Gaba_2,0174 IT AON-TT-DP Glut_2
,,175 SC Bnc2 Glut,0175 Vip Gaba_3,0175 IT AON-TT-DP Glut_3
,,176 SCig Foxb1 Glut,0176 Vip Gaba_4,0176 IT AON-TT-DP Glut_3
,,177 SCig-an-PPT Foxb1 Glut,0177 Vip Gaba_5,0177 IT AON-TT-DP Glut_3
,,178 SCig Foxb1 Otx2 Glut,0178 Vip Gaba_6,0178 IT AON-TT-DP Glut_3
,,179 SCdg-PAG Tfap2b Glut,0179 Vip Gaba_7,0179 IT AON-TT-DP Glut_4
,,180 SCiw Pitx2 Glut,0180 Vip Gaba_8,0180 IT AON-TT-DP Glut_4
,,181 IC Tfap2d Maf Glut,0181 Vip Gaba_9,0181 IT AON-TT-DP Glut_4
,,182 CUN-PPN Evx2 Meis2 Glut,0182 Vip Gaba_10,0182 IT AON-TT-DP Glut_5
,,183 PBG Mtnr1a Glut-Chol,0183 Vip Gaba_11,0183 IT AON-TT-DP Glut_5
,,184 PAG Tcf24 Glut,0184 Vip Gaba_12,0184 IT AON-TT-DP Glut_5
,,185 SCig Tfap2b Chrnb3 Glut,0185 Sncg Gaba_1,0185 IT AON-TT-DP Glut_5
,,186 SCop Pou4f2 Neurod2 Glut,0186 Sncg Gaba_2,0186 L2 IT ENT-po Glut_1
,,187 SCsg Pde5a Glut,0187 Sncg Gaba_3,0187 L2 IT ENT-po Glut_1
,,188 SCop Sln Glut,0188 Sncg Gaba_4,0188 L2 IT ENT-po Glut_2
,,189 PAG Ucn Glut,0189 Sncg Gaba_5,0189 L2 IT ENT-po Glut_2
,,190 ND-INC Foxd2 Glut,0190 Sncg Gaba_6,0190 L2 IT ENT-po Glut_3
,,191 PAG-MRN Rln3 Gaba,0191 Sncg Gaba_7,0191 L2 IT ENT-po Glut_4
,,192 PPN-CUN-PCG Otp En1 Gaba,0192 Sncg Gaba_8,0192 MEA Slc17a7 Glut_1
,,193 MRN-PPN-CUN Pax8 Gaba,0193 RHP-COA Ndnf Gaba_1,0193 MEA Slc17a7 Glut_1
,,194 MRN-VTN-PPN Pax5 Cdh23 Gaba,0194 RHP-COA Ndnf Gaba_2,0194 MEA Slc17a7 Glut_1
,,195 SNr-VTA Pax5 Npas1 Gaba,0195 RHP-COA Ndnf Gaba_3,0195 MEA Slc17a7 Glut_1
,,196 PAG-PPN Pax5 Sox21 Gaba,0196 RHP-COA Ndnf Gaba_4,0196 MEA Slc17a7 Glut_1
,,197 SNr Six3 Gaba,0197 RHP-COA Ndnf Gaba_5,0197 MEA Slc17a7 Glut_1
,,198 IC Six3 En2 Gaba,0198 RHP-COA Ndnf Gaba_6,0198 MEA Slc17a7 Glut_1
,,199 PAG-MRN-RN Foxa2 Gaba,0199 Lamp5 Gaba_1,0199 MEA Slc17a7 Glut_1
,,200 PAG-ND-PCG Onecut1 Gaba,0200 Lamp5 Gaba_2,0200 MEA Slc17a7 Glut_1
,,201 PAG-RN Nkx2-2 Otx1 Gaba,0201 Lamp5 Gaba_3,0201 MEA Slc17a7 Glut_2
,,202 PRT Tcf7l2 Gaba,0202 Lamp5 Gaba_4,0202 MEA Slc17a7 Glut_2
,,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,0203 Lamp5 Lhx6 Gaba_1,0203 MEA Slc17a7 Glut_2
,,204 SC Otx2 Gcnt4 Gaba,0204 Pvalb chandelier Gaba_1,0204 MEA Slc17a7 Glut_2
,,205 SC-PAG Lef1 Emx2 Gaba,0205 Pvalb Gaba_1,0205 MEA Slc17a7 Glut_2
,,206 SCm-PAG Cdh23 Gaba,0206 Pvalb Gaba_2,0206 MEA Slc17a7 Glut_2
,,207 SCs Dmbx1 Gaba,0207 Pvalb Gaba_3,0207 MEA Slc17a7 Glut_2
,,208 SC Lef1 Otx2 Gaba,0208 Pvalb Gaba_4,0208 MEA Slc17a7 Glut_2
,,209 SCs Pax7 Nfia Gaba,0209 Pvalb Gaba_5,0209 MEA Slc17a7 Glut_2
,,210 PRT Mecom Gaba,0210 Pvalb Gaba_6,0210 MEA Slc17a7 Glut_2
,,211 SC Tnnt1 Gli3 Gaba,0211 Pvalb Gaba_7,0211 MEA Slc17a7 Glut_2
,,212 SCs Lef1 Gli3 Gaba,0212 Pvalb Gaba_8,0212 MEA Slc17a7 Glut_2
,,213 SCsg Gabrr2 Gaba,0213 Pvalb Gaba_9,0213 MEA Slc17a7 Glut_3
,,214 IPN Otp Crisp1 Gaba,0214 Sst Gaba_1,0214 MEA Slc17a7 Glut_3
,,215 SNc-VTA-RAmb Foxa1 Dopa,0215 Sst Gaba_2,0215 COAp Grxcr2 Glut_1
,,216 MB-MY Tph2 Glut-Sero,0216 Sst Gaba_3,0216 COAp Grxcr2 Glut_2
,,217 PB Lmx1a Glut,0217 Sst Gaba_4,0217 COAp Grxcr2 Glut_2
,,218 PSV Lmx1a Trpv6 Glut,0218 Sst Gaba_5,0218 COAp Grxcr2 Glut_2
,,219 PB-SUT Tlx3 Lhx2 Glut,0219 Sst Gaba_6,0219 COAp Grxcr2 Glut_2
,,220 PB Pax5 Glut,0220 Sst Gaba_7,0220 COAp Grxcr2 Glut_2
,,221 LDT-PCG Vsx2 Lhx4 Glut,0221 Sst Gaba_8,0221 LA-BLA-BMA-PA Glut_1
,,222 PB Evx2 Glut,0222 Sst Gaba_9,0222 LA-BLA-BMA-PA Glut_1
,,223 B-PB Nr4a2 Glut,0223 Sst Gaba_10,0223 LA-BLA-BMA-PA Glut_1
,,224 PCG-PRNr Vsx2 Nkx6-1 Glut,0224 Sst Gaba_11,0224 LA-BLA-BMA-PA Glut_1
,,225 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut,0225 Sst Gaba_12,0225 LA-BLA-BMA-PA Glut_1
,,226 PRNc-PARN Tlx1 Glut,0226 Sst Gaba_13,0226 LA-BLA-BMA-PA Glut_1
,,227 PB-PSV Phox2b Glut,0227 Sst Gaba_14,0227 LA-BLA-BMA-PA Glut_1
,,228 PSV Pvalb Lhx2 Glut,0228 Sst Gaba_15,0228 LA-BLA-BMA-PA Glut_1
,,229 PB-NTS Phox2b Ebf3 Lmx1b Glut,0229 Sst Gaba_16,0229 LA-BLA-BMA-PA Glut_1
,,230 PRNr Otp Nfib Glut,0230 Sst Gaba_17,0230 LA-BLA-BMA-PA Glut_2
,,231 IPN-LDT Vsx2 Nkx6-1 Glut,0231 Sst Gaba_18,0231 LA-BLA-BMA-PA Glut_2
,,232 LDT Vsx2 Nkx6-1 Nfib Glut,0232 Sst Gaba_19,0232 LA-BLA-BMA-PA Glut_2
,,233 NLL-SOC Spp1 Glut,0233 STR Prox1 Lhx6 Gaba_1,0233 LA-BLA-BMA-PA Glut_2
,,234 MEV Ppp1r1c Glut,0234 STR Prox1 Lhx6 Gaba_2,0234 LA-BLA-BMA-PA Glut_2
