cluster_alias,neurotransmitter,supercluster,cluster,subcluster
127,GLY,Cerebellar inhibitory,CBI_298,CBI_298_127
128,GLY,Cerebellar inhibitory,CBI_298,CBI_298_128
129,GLY,Cerebellar inhibitory,CBI_301,CBI_301_129
130,GLY,Cerebellar inhibitory,CBI_299,CBI_299_130
131,GLY,Cerebellar inhibitory,CBI_299,CBI_299_131
132,GLY,Cerebellar inhibitory,CBI_299,CBI_299_132
133,GLY,Cerebellar inhibitory,CBI_299,CBI_299_133
134,GLY,Cerebellar inhibitory,CBI_299,CBI_299_134
135,GLY,Cerebellar inhibitory,CBI_299,CBI_299_135
136,GABA,Cerebellar inhibitory,CBI_300,CBI_300_136
137,GABA,Cerebellar inhibitory,CBI_300,CBI_300_137
138,GABA,Cerebellar inhibitory,CBI_300,CBI_300_138
139,GABA,Cerebellar inhibitory,CBI_300,CBI_300_139
140,GABA,Cerebellar inhibitory,CBI_300,CBI_300_140
141,GABA,Cerebellar inhibitory,CBI_300,CBI_300_141
142,GABA,Cerebellar inhibitory,CBI_300,CBI_300_142
143,GABA,Cerebellar inhibitory,CBI_300,CBI_300_143
144,GABA,Cerebellar inhibitory,CBI_303,CBI_303_144
145,GABA,Cerebellar inhibitory,CBI_303,CBI_303_145
146,GABA,Cerebellar inhibitory,CBI_303,CBI_303_146
147,GABA,Cerebellar inhibitory,CBI_303,CBI_303_147
148,GABA,Cerebellar inhibitory,CBI_303,CBI_303_148
149,GABA,Cerebellar inhibitory,CBI_304,CBI_304_149
150,GABA,Cerebellar inhibitory,CBI_304,CBI_304_150
151,GABA,Cerebellar inhibitory,CBI_304,CBI_304_151
152,GABA,Cerebellar inhibitory,CBI_304,CBI_304_152
153,GABA,Cerebellar inhibitory,CBI_306,CBI_306_153
154,GABA,Cerebellar inhibitory,CBI_306,CBI_306_154
155,GABA,Cerebellar inhibitory,CBI_305,CBI_305_155
156,GABA,Cerebellar inhibitory,CBI_305,CBI_305_156
157,GABA,Cerebellar inhibitory,CBI_307,CBI_307_157
158,GABA,Cerebellar inhibitory,CBI_307,CBI_307_158
159,GABA,Cerebellar inhibitory,CBI_307,CBI_307_159
160,GABA,Cerebellar inhibitory,CBI_307,CBI_307_160
161,GLY,Cerebellar inhibitory,CBI_301,CBI_301_161
162,GLY,Cerebellar inhibitory,CBI_301,CBI_301_162
163,GABA,Splatter,Splat_409,Splat_409_163
164,GABA,Splatter,Splat_409,Splat_409_164
165,GABA,Splatter,Splat_409,Splat_409_165
166,GABA,Splatter,Splat_409,Splat_409_166
167,GABA,Splatter,Splat_409,Splat_409_167
168,GABA,Splatter,Splat_238,Splat_238_168
169,GABA,Splatter,Splat_238,Splat_238_169
170,GABA,Splatter,Splat_238,Splat_238_170
171,GABA,Splatter,Splat_238,Splat_238_171
172,GABA,Splatter,Splat_238,Splat_238_172
173,GABA,Splatter,Splat_238,Splat_238_173
174,GABA,Splatter,Splat_238,Splat_238_174
175,GABA,Splatter,Splat_238,Splat_238_175
176,GABA,Splatter,Splat_238,Splat_238_176
177,GABA,Splatter,Splat_237,Splat_237_177
178,GABA,Splatter,Splat_238,Splat_238_178
179,GABA,Splatter,Splat_237,Splat_237_179
180,GABA,Splatter,Splat_237,Splat_237_180
181,GABA,Splatter,Splat_237,Splat_237_181
182,GABA,Splatter,Splat_237,Splat_237_182
183,GABA,Splatter,Splat_237,Splat_237_183
184,GABA,Splatter,Splat_237,Splat_237_184
185,GABA,Splatter,Splat_237,Splat_237_185
186,GABA,Splatter,Splat_425,Splat_425_186
187,GABA,MGE interneuron,MGE_245,MGE_245_187
188,GABA,MGE interneuron,MGE_245,MGE_245_188
189,GABA,MGE interneuron,MGE_245,MGE_245_189
190,GABA,MGE interneuron,MGE_245,MGE_245_190
191,GABA,Splatter,Splat_235,Splat_235_191
192,GABA,Splatter,Splat_235,Splat_235_192
193,GABA,Splatter,Splat_235,Splat_235_193
194,GABA,Splatter,Splat_235,Splat_235_194
195,GABA,Splatter,Splat_235,Splat_235_195
196,GABA,Splatter,Splat_235,Splat_235_196
197,GABA,Splatter,Splat_235,Splat_235_197
198,GABA,Splatter,Splat_235,Splat_235_198
199,GABA,Splatter,Splat_235,Splat_235_199
200,GABA,Splatter,Splat_235,Splat_235_200
201,GABA VGLUT3,MGE interneuron,MGE_254,MGE_254_201
202,GABA VGLUT3,MGE interneuron,MGE_254,MGE_254_202
203,GABA VGLUT3,MGE interneuron,MGE_254,MGE_254_203
204,GABA VGLUT3,MGE interneuron,MGE_254,MGE_254_204
205,GABA VGLUT3,MGE interneuron,MGE_254,MGE_254_205
206,GABA VGLUT3,MGE interneuron,MGE_254,MGE_254_206
207,GABA VGLUT3,MGE interneuron,MGE_254,MGE_254_207
208,GABA VGLUT3,MGE interneuron,MGE_254,MGE_254_208
209,GABA VGLUT3,MGE interneuron,MGE_254,MGE_254_209
210,GABA,MGE interneuron,MGE_253,MGE_253_210
211,GABA,MGE interneuron,MGE_253,MGE_253_211
212,GABA,MGE interneuron,MGE_253,MGE_253_212
213,GABA,MGE interneuron,MGE_253,MGE_253_213
214,GABA,MGE interneuron,MGE_253,MGE_253_214
215,GABA VGLUT3,MGE interneuron,MGE_252,MGE_252_215
216,GABA,MGE interneuron,MGE_253,MGE_253_216
217,GABA,MGE interneuron,MGE_253,MGE_253_217
218,GABA VGLUT3,MGE interneuron,MGE_252,MGE_252_218
219,GABA,MGE interneuron,MGE_253,MGE_253_219
220,GABA VGLUT3,MGE interneuron,MGE_254,MGE_254_220
221,GABA VGLUT3,MGE interneuron,MGE_252,MGE_252_221
222,GABA,MGE interneuron,MGE_249,MGE_249_222
223,GABA VGLUT3,MGE interneuron,MGE_252,MGE_252_223
224,GABA VGLUT3,MGE interneuron,MGE_252,MGE_252_224
225,GABA VGLUT3,MGE interneuron,MGE_252,MGE_252_225
226,GABA VGLUT3,MGE interneuron,MGE_252,MGE_252_226
227,GABA VGLUT3,MGE interneuron,MGE_252,MGE_252_227
228,GABA VGLUT3,MGE interneuron,MGE_252,MGE_252_228
229,GABA VGLUT3,MGE interneuron,MGE_252,MGE_252_229
230,GABA,MGE interneuron,MGE_246,MGE_246_230
231,GABA,MGE interneuron,MGE_246,MGE_246_231
232,GABA,MGE interneuron,MGE_246,MGE_246_232
233,GABA,MGE interneuron,MGE_246,MGE_246_233
234,GABA,MGE interneuron,MGE_246,MGE_246_234
235,GABA,MGE interneuron,MGE_246,MGE_246_235
236,GABA,MGE interneuron,MGE_246,MGE_246_236
237,GABA,MGE interneuron,MGE_246,MGE_246_237
238,GABA,MGE interneuron,MGE_246,MGE_246_238
239,GABA,MGE interneuron,MGE_246,MGE_246_239
240,GABA,MGE interneuron,MGE_247,MGE_247_240
241,GABA,MGE interneuron,MGE_247,MGE_247_241
242,GABA,MGE interneuron,MGE_247,MGE_247_242
243,GABA,MGE interneuron,MGE_247,MGE_247_243
244,GABA,MGE interneuron,MGE_247,MGE_247_244
245,GABA,MGE interneuron,MGE_247,MGE_247_245
246,GABA,MGE interneuron,MGE_247,MGE_247_246
247,GABA,MGE interneuron,MGE_248,MGE_248_247
248,GABA,MGE interneuron,MGE_248,MGE_248_248
249,GABA,MGE interneuron,MGE_248,MGE_248_249
250,GABA,MGE interneuron,MGE_249,MGE_249_250
251,GABA,MGE interneuron,MGE_248,MGE_248_251
252,GABA,MGE interneuron,MGE_248,MGE_248_252
253,GABA,MGE interneuron,MGE_248,MGE_248_253
254,GABA,MGE interneuron,MGE_248,MGE_248_254
255,GABA,MGE interneuron,MGE_248,MGE_248_255
256,GABA,MGE interneuron,MGE_248,MGE_248_256
257,GABA VGLUT3,MGE interneuron,MGE_252,MGE_252_257
258,GABA,MGE interneuron,MGE_249,MGE_249_258
259,GABA,MGE interneuron,MGE_249,MGE_249_259
260,GABA,MGE interneuron,MGE_249,MGE_249_260
261,GABA,MGE interneuron,MGE_249,MGE_249_261
262,GABA,MGE interneuron,MGE_249,MGE_249_262
263,GABA,MGE interneuron,MGE_249,MGE_249_263
264,GABA,MGE interneuron,MGE_249,MGE_249_264
265,GABA,MGE interneuron,MGE_249,MGE_249_265
266,GABA,MGE interneuron,MGE_250,MGE_250_266
267,GABA,MGE interneuron,MGE_249,MGE_249_267
268,GABA,MGE interneuron,MGE_250,MGE_250_268
269,GABA,MGE interneuron,MGE_250,MGE_250_269
270,GABA,MGE interneuron,MGE_250,MGE_250_270
271,GABA,MGE interneuron,MGE_250,MGE_250_271
272,GABA,MGE interneuron,MGE_250,MGE_250_272
273,GABA,MGE interneuron,MGE_250,MGE_250_273
274,GABA,MGE interneuron,MGE_250,MGE_250_274
275,GABA,MGE interneuron,MGE_250,MGE_250_275
276,GABA,MGE interneuron,MGE_250,MGE_250_276
277,GABA,MGE interneuron,MGE_251,MGE_251_277
278,GABA,MGE interneuron,MGE_251,MGE_251_278
279,GABA,MGE interneuron,MGE_251,MGE_251_279
280,GABA,MGE interneuron,MGE_251,MGE_251_280
281,GABA,MGE interneuron,MGE_251,MGE_251_281
282,GABA,MGE interneuron,MGE_251,MGE_251_282
283,GABA,MGE interneuron,MGE_250,MGE_250_283
284,GABA,MGE interneuron,MGE_251,MGE_251_284
285,GABA,MGE interneuron,MGE_248,MGE_248_285
286,GABA,MGE interneuron,MGE_244,MGE_244_286
287,GABA,MGE interneuron,MGE_244,MGE_244_287
288,GABA,MGE interneuron,MGE_244,MGE_244_288
289,GABA,MGE interneuron,MGE_244,MGE_244_289
290,GABA,MGE interneuron,MGE_244,MGE_244_290
291,GABA,MGE interneuron,MGE_244,MGE_244_291
292,GABA,MGE interneuron,MGE_244,MGE_244_292
293,GABA,Splatter,Splat_235,Splat_235_293
294,GABA,MGE interneuron,MGE_245,MGE_245_294
295,GABA,MGE interneuron,MGE_245,MGE_245_295
296,GABA,MGE interneuron,MGE_245,MGE_245_296
297,GABA,MGE interneuron,MGE_245,MGE_245_297
298,GABA,MGE interneuron,MGE_245,MGE_245_298
299,None,MGE interneuron,MGE_242,MGE_242_299
300,GABA,MGE interneuron,MGE_243,MGE_243_300
301,GABA,MGE interneuron,MGE_243,MGE_243_301
302,GABA,MGE interneuron,MGE_243,MGE_243_302
303,GABA,MGE interneuron,MGE_243,MGE_243_303
304,GABA,MGE interneuron,MGE_243,MGE_243_304
305,GABA,MGE interneuron,MGE_243,MGE_243_305
306,GABA,MGE interneuron,MGE_243,MGE_243_306
307,GABA,MGE interneuron,MGE_243,MGE_243_307
308,None,MGE interneuron,MGE_242,MGE_242_308
309,None,MGE interneuron,MGE_242,MGE_242_309
310,None,MGE interneuron,MGE_242,MGE_242_310
311,None,MGE interneuron,MGE_242,MGE_242_311
312,None,MGE interneuron,MGE_242,MGE_242_312
313,None,MGE interneuron,MGE_242,MGE_242_313
314,None,MGE interneuron,MGE_242,MGE_242_314
315,GABA,MGE interneuron,MGE_241,MGE_241_315
316,GABA,MGE interneuron,MGE_241,MGE_241_316
317,GABA,MGE interneuron,MGE_241,MGE_241_317
318,None,MGE interneuron,MGE_242,MGE_242_318
319,GABA,MGE interneuron,MGE_239,MGE_239_319
320,GABA,MGE interneuron,MGE_241,MGE_241_320
321,GABA,MGE interneuron,MGE_241,MGE_241_321
322,GABA,MGE interneuron,MGE_241,MGE_241_322
323,GABA,MGE interneuron,MGE_241,MGE_241_323
324,GABA,MGE interneuron,MGE_240,MGE_240_324
325,GABA,MGE interneuron,MGE_240,MGE_240_325
326,GABA,MGE interneuron,MGE_240,MGE_240_326
327,GABA,Splatter,Splat_237,Splat_237_327
328,GABA,MGE interneuron,MGE_236,MGE_236_328
329,GABA,MGE interneuron,MGE_236,MGE_236_329
330,GABA,MGE interneuron,MGE_236,MGE_236_330
331,GABA,MGE interneuron,MGE_236,MGE_236_331
332,GABA,MGE interneuron,MGE_260,MGE_260_332
333,GABA,MGE interneuron,MGE_260,MGE_260_333
334,GABA,MGE interneuron,MGE_260,MGE_260_334
335,GABA,MGE interneuron,MGE_260,MGE_260_335
336,GABA,MGE interneuron,MGE_260,MGE_260_336
337,GABA,MGE interneuron,MGE_259,MGE_259_337
338,GABA,MGE interneuron,MGE_259,MGE_259_338
339,GABA,MGE interneuron,MGE_259,MGE_259_339
340,GABA,MGE interneuron,MGE_259,MGE_259_340
341,GABA,MGE interneuron,MGE_259,MGE_259_341
342,GABA,MGE interneuron,MGE_259,MGE_259_342
343,GABA,MGE interneuron,MGE_259,MGE_259_343
344,GABA,MGE interneuron,MGE_259,MGE_259_344
345,GABA,MGE interneuron,MGE_239,MGE_239_345
346,GABA,MGE interneuron,MGE_239,MGE_239_346
347,GABA,MGE interneuron,MGE_239,MGE_239_347
348,GABA,MGE interneuron,MGE_239,MGE_239_348
349,GABA,MGE interneuron,MGE_239,MGE_239_349
350,GABA,MGE interneuron,MGE_239,MGE_239_350
351,GABA,MGE interneuron,MGE_239,MGE_239_351
352,GABA,MGE interneuron,MGE_239,MGE_239_352
353,GABA,MGE interneuron,MGE_239,MGE_239_353
354,GABA VGLUT3,MGE interneuron,MGE_258,MGE_258_354
355,GABA VGLUT3,MGE interneuron,MGE_258,MGE_258_355
356,GABA VGLUT3,MGE interneuron,MGE_258,MGE_258_356
357,GABA VGLUT3,MGE interneuron,MGE_258,MGE_258_357
358,GABA VGLUT3,MGE interneuron,MGE_258,MGE_258_358
359,GABA VGLUT3,MGE interneuron,MGE_258,MGE_258_359
360,GABA VGLUT3,MGE interneuron,MGE_256,MGE_256_360
361,GABA VGLUT3,MGE interneuron,MGE_256,MGE_256_361
362,GABA VGLUT3,MGE interneuron,MGE_256,MGE_256_362
363,GABA VGLUT3,MGE interneuron,MGE_256,MGE_256_363
364,GABA VGLUT3,MGE interneuron,MGE_256,MGE_256_364
365,GABA,MGE interneuron,MGE_255,MGE_255_365
366,GABA,MGE interneuron,MGE_255,MGE_255_366
367,GABA,MGE interneuron,MGE_255,MGE_255_367
368,GABA,MGE interneuron,MGE_255,MGE_255_368
369,GABA,MGE interneuron,MGE_255,MGE_255_369
370,GABA,MGE interneuron,MGE_255,MGE_255_370
371,GABA,MGE interneuron,MGE_255,MGE_255_371
372,GABA VGLUT3,MGE interneuron,MGE_258,MGE_258_372
373,GABA,MGE interneuron,MGE_253,MGE_253_373
374,GABA,LAMP5-LHX6 and Chandelier,LLC_264,LLC_264_374
375,GABA,LAMP5-LHX6 and Chandelier,LLC_264,LLC_264_375
376,GABA,LAMP5-LHX6 and Chandelier,LLC_264,LLC_264_376
377,GABA,LAMP5-LHX6 and Chandelier,LLC_264,LLC_264_377
378,GABA,LAMP5-LHX6 and Chandelier,LLC_266,LLC_266_378
379,GABA,LAMP5-LHX6 and Chandelier,LLC_265,LLC_265_379
380,GABA,LAMP5-LHX6 and Chandelier,LLC_265,LLC_265_380
381,GABA,LAMP5-LHX6 and Chandelier,LLC_266,LLC_266_381
382,GABA,LAMP5-LHX6 and Chandelier,LLC_265,LLC_265_382
383,GABA,LAMP5-LHX6 and Chandelier,LLC_265,LLC_265_383
384,GABA,LAMP5-LHX6 and Chandelier,LLC_266,LLC_266_384
385,GABA,LAMP5-LHX6 and Chandelier,LLC_266,LLC_266_385
386,GABA,LAMP5-LHX6 and Chandelier,LLC_266,LLC_266_386
387,GABA,LAMP5-LHX6 and Chandelier,LLC_266,LLC_266_387
388,GABA,LAMP5-LHX6 and Chandelier,LLC_266,LLC_266_388
389,GABA,MGE interneuron,MGE_246,MGE_246_389
390,GABA,MGE interneuron,MGE_236,MGE_236_390
391,GABA,MGE interneuron,MGE_236,MGE_236_391
392,GABA,MGE interneuron,MGE_236,MGE_236_392
393,GABA,MGE interneuron,MGE_257,MGE_257_393
394,GABA,MGE interneuron,MGE_257,MGE_257_394
395,GABA,MGE interneuron,MGE_236,MGE_236_395
396,GABA,MGE interneuron,MGE_236,MGE_236_396
397,GABA,MGE interneuron,MGE_236,MGE_236_397
398,GABA,MGE interneuron,MGE_257,MGE_257_398
399,GABA,MGE interneuron,MGE_257,MGE_257_399
400,GABA VGLUT3,MGE interneuron,MGE_258,MGE_258_400
401,GABA VGLUT3,MGE interneuron,MGE_258,MGE_258_401
402,GABA VGLUT3,MGE interneuron,MGE_258,MGE_258_402
403,GABA,MGE interneuron,MGE_257,MGE_257_403
404,GABA,MGE interneuron,MGE_257,MGE_257_404
405,GABA,MGE interneuron,MGE_262,MGE_262_405
406,GABA,MGE interneuron,MGE_262,MGE_262_406
407,GABA,MGE interneuron,MGE_262,MGE_262_407
408,GABA,MGE interneuron,MGE_262,MGE_262_408
409,GABA,MGE interneuron,MGE_257,MGE_257_409
410,GABA,MGE interneuron,MGE_261,MGE_261_410
411,GABA,MGE interneuron,MGE_261,MGE_261_411
412,GABA,MGE interneuron,MGE_259,MGE_259_412
413,GABA,MGE interneuron,MGE_261,MGE_261_413
414,GABA,MGE interneuron,MGE_261,MGE_261_414
415,GABA,MGE interneuron,MGE_261,MGE_261_415
416,GABA,MGE interneuron,MGE_261,MGE_261_416
417,GABA,MGE interneuron,MGE_261,MGE_261_417
418,GABA,MGE interneuron,MGE_261,MGE_261_418
419,GABA,MGE interneuron,MGE_261,MGE_261_419
420,GABA,MGE interneuron,MGE_261,MGE_261_420
421,GABA,MGE interneuron,MGE_260,MGE_260_421
422,GABA,MGE interneuron,MGE_260,MGE_260_422
423,GABA,MGE interneuron,MGE_263,MGE_263_423
424,GABA,MGE interneuron,MGE_263,MGE_263_424
425,GABA,CGE interneuron,CGE_286,CGE_286_425
426,GABA,CGE interneuron,CGE_286,CGE_286_426
427,GABA,CGE interneuron,CGE_286,CGE_286_427
428,GABA,CGE interneuron,CGE_286,CGE_286_428
429,GABA,CGE interneuron,CGE_288,CGE_288_429
430,GABA,CGE interneuron,CGE_288,CGE_288_430
431,GABA,CGE interneuron,CGE_287,CGE_287_431
432,GABA,CGE interneuron,CGE_287,CGE_287_432
433,GABA,CGE interneuron,CGE_287,CGE_287_433
434,GABA,CGE interneuron,CGE_287,CGE_287_434
435,GABA,CGE interneuron,CGE_287,CGE_287_435
436,GABA,CGE interneuron,CGE_288,CGE_288_436
437,GABA,CGE interneuron,CGE_288,CGE_288_437
438,GABA,CGE interneuron,CGE_288,CGE_288_438
439,GABA,LAMP5-LHX6 and Chandelier,LLC_270,LLC_270_439
440,GABA,LAMP5-LHX6 and Chandelier,LLC_270,LLC_270_440
441,GABA,LAMP5-LHX6 and Chandelier,LLC_270,LLC_270_441
442,GABA,LAMP5-LHX6 and Chandelier,LLC_270,LLC_270_442
443,GABA,LAMP5-LHX6 and Chandelier,LLC_271,LLC_271_443
444,GABA,LAMP5-LHX6 and Chandelier,LLC_268,LLC_268_444
445,GABA,LAMP5-LHX6 and Chandelier,LLC_272,LLC_272_445
446,GABA,LAMP5-LHX6 and Chandelier,LLC_271,LLC_271_446
447,GABA,LAMP5-LHX6 and Chandelier,LLC_273,LLC_273_447
448,GABA,LAMP5-LHX6 and Chandelier,LLC_274,LLC_274_448
449,GABA,LAMP5-LHX6 and Chandelier,LLC_274,LLC_274_449
450,GABA,LAMP5-LHX6 and Chandelier,LLC_274,LLC_274_450
451,GABA,LAMP5-LHX6 and Chandelier,LLC_275,LLC_275_451
452,GABA,LAMP5-LHX6 and Chandelier,LLC_275,LLC_275_452
453,GABA,LAMP5-LHX6 and Chandelier,LLC_275,LLC_275_453
454,GABA,LAMP5-LHX6 and Chandelier,LLC_275,LLC_275_454
455,GABA,LAMP5-LHX6 and Chandelier,LLC_275,LLC_275_455
456,GABA,LAMP5-LHX6 and Chandelier,LLC_275,LLC_275_456
457,GABA,LAMP5-LHX6 and Chandelier,LLC_269,LLC_269_457
